Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPG,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG
Josh Jacobs,GB,17,48.3,340,1653,97.2,4.9,12,64,53,400,7.5,,275.3,16.2
Christian McCaffrey,SF,17,0.0,244,1139,67.0,4.7,8,108,85,741,8.7,5,271.4,16.0
Derrick Henry,BAL,16,40.6,349,1538,96.1,4.4,13,41,33,398,12.1,,269.8,16.9
Austin Ekeler,WAS,17,43.2,204,915,53.8,4.5,13,127,107,722,6.7,5,265.7,15.6
Nick Chubb,CLE,17,38.8,302,1525,89.7,5.0,12,37,27,239,8.9,1,254.4,15.0
Saquon Barkley,PHI,16,53.5,295,1312,82.0,4.4,10,76,57,338,5.9,,227.0,14.2
Jamaal Williams,NO,17,26.2,262,1066,62.7,4.1,17,16,12,73,6.1,,213.9,12.6
Tony Pollard,TEN,16,35.6,193,1007,62.9,5.2,9,55,39,371,9.5,3,209.8,13.1
Dalvin Cook,BAL,17,49.5,264,1173,69.0,4.4,8,56,39,295,7.6,2,198.8,11.7
Miles Sanders,CAR,17,39.6,259,1269,74.6,4.9,11,26,20,78,3.9,,196.7,11.6
Aaron Jones,MIN,17,37.1,213,1121,65.9,5.3,2,72,59,395,6.7,5,189.6,11.2
Najee Harris,PIT,17,44.9,272,1034,60.8,3.8,7,53,41,229,5.6,3,182.5,10.7
Rhamondre Stevenson,NE,17,40.4,210,1040,61.2,5.0,5,88,69,421,6.1,1,180.1,10.6
Joe Mixon,HOU,14,44.6,210,814,58.1,3.9,7,75,60,441,7.4,2,179.5,12.8
Kenneth Walker,SEA,15,38.3,228,1050,70.0,4.6,9,35,27,165,6.1,,175.5,11.7
Travis Etienne,JAC,17,37.2,220,1125,66.2,5.1,5,45,35,316,9.0,,170.1,10.0
Ezekiel Elliott,DAL,15,37.2,231,876,58.4,3.8,12,23,17,92,5.4,,168.8,11.3
Alvin Kamara,NO,15,42.8,223,897,59.8,4.0,2,77,57,490,8.6,2,154.7,10.3
James Conner,ARI,13,51.0,183,782,60.2,4.3,7,58,46,300,6.5,1,154.2,11.9
Leonard Fournette,BUF,16,43.1,189,668,41.8,3.5,3,83,73,523,7.2,3,154.1,9.6
David Montgomery,DET,16,39.3,201,801,50.1,4.0,5,40,34,316,9.3,1,143.7,9.0
Tyler Allgeier,ATL,16,31.1,210,1035,64.7,4.9,3,17,16,139,8.7,1,143.4,9.0
D'Andre Swift,CHI,14,28.1,99,542,38.7,5.5,5,70,48,389,8.1,3,143.1,10.2
Jeff Wilson,MIA,16,0.0,176,860,53.8,4.9,5,37,22,185,8.4,1,140.5,8.8
Jerick McKinnon,KC,17,31.5,72,291,17.1,4.0,1,71,56,512,9.1,9,140.3,8.3
Devin Singletary,NYG,16,42.0,177,819,51.2,4.6,5,52,38,280,7.4,1,139.9,8.7
AJ Dillon,GB,17,31.6,186,770,45.3,4.1,7,43,28,206,7.4,,139.6,8.2
Raheem Mostert,MIA,16,34.5,181,891,55.7,4.9,3,42,31,202,6.5,2,137.3,8.6
Dameon Pierce,HOU,13,39.1,220,939,72.2,4.3,4,39,30,165,5.5,1,136.4,10.5
Cam Akers,MIN,15,28.5,188,786,52.4,4.2,7,18,13,117,9.0,,128.3,8.6
Cordarrelle Patterson,PIT,13,29.4,144,695,53.5,4.8,8,31,21,122,5.8,,127.7,9.8
D'Onta Foreman,CLE,17,20.5,203,914,53.8,4.5,5,9,5,26,5.2,,126.0,7.4
Isiah Pacheco,KC,17,20.6,170,830,48.8,4.9,5,14,13,130,10.0,,122.0,7.2
Antonio Gibson,NE,15,32.6,149,546,36.4,3.7,3,58,46,353,7.7,2,119.9,8.0
Jonathan Taylor,IND,11,47.6,192,861,78.3,4.5,4,40,28,143,5.1,,118.4,10.8
Latavius Murray,BUF,12,32.4,160,703,58.6,4.4,5,34,26,124,4.8,,114.7,9.6
Khalil Herbert,CHI,13,23.2,129,731,56.2,5.7,4,12,9,57,6.3,1,108.8,8.4
Samaje Perine,DEN,16,28.0,95,394,24.6,4.1,2,51,38,287,7.6,4,104.1,6.5
Brian Robinson,WAS,12,29.2,205,797,66.4,3.9,2,12,9,60,6.7,1,103.7,8.6
Breece Hall,NYJ,7,33.3,80,463,66.1,5.8,4,31,19,218,11.5,1,96.1,13.7
Kareem Hunt,CLE,17,28.9,123,468,27.5,3.8,3,44,35,210,6.0,1,91.8,5.4
Rachaad White,TB,17,27.6,129,481,28.3,3.7,1,58,50,290,5.8,2,89.1,5.2
Kenyan Drake,GB,12,30.4,109,482,40.2,4.4,4,26,17,89,5.2,1,87.1,7.3
Michael Carter,ARI,16,31.0,114,402,25.1,3.5,3,54,41,288,7.0,,85.0,5.3
James Cook,BUF,16,16.8,89,507,31.7,5.7,2,32,21,180,8.6,1,84.7,5.3
Clyde Edwards-Helaire,KC,10,22.4,71,302,30.2,4.3,3,23,17,151,8.9,3,81.3,8.1
James Robinson,NO,11,0.0,110,425,38.6,3.9,3,14,11,51,4.6,2,77.6,7.1
J.K. Dobbins,LAC,8,25.1,92,520,65.0,5.7,2,8,7,42,6.0,1,74.2,9.3
Damien Harris,BUF,11,21.6,106,462,42.0,4.4,3,23,17,97,5.7,,73.9,6.7
Chuba Hubbard,CAR,15,17.6,95,466,31.1,4.9,2,17,14,171,12.2,,73.7,4.9
Alexander Mattison,LV,17,17.5,74,283,16.6,3.8,5,18,15,91,6.1,1,73.4,4.3
Jaylen Warren,PIT,16,21.4,77,379,23.7,4.9,1,33,28,214,7.6,,65.3,4.1
Kenneth Gainwell,PHI,17,19.5,53,240,14.1,4.5,4,29,23,169,7.3,,64.9,3.8
Melvin Gordon,BAL,10,0.0,90,318,31.8,3.5,2,32,25,223,8.9,,62.1,6.2
Gus Edwards,LAC,9,17.7,87,433,48.1,5.0,3,2,,,,,59.3,6.6
Chase Edmonds,TB,13,0.0,68,245,18.8,3.6,2,24,16,157,9.8,1,58.2,4.5
Darrell Henderson,LA,10,0.0,70,283,28.3,4.0,3,22,17,102,6.0,,56.5,5.7
Dontrell Hilliard,TEN,12,16.7,22,145,12.1,6.6,,26,21,177,8.4,4,56.2,4.7
Zack Moss,CIN,13,0.0,93,456,35.1,4.9,1,13,11,39,3.5,,55.5,4.3
Deon Jackson,NYG,16,15.4,68,236,14.8,3.5,1,34,30,209,7.0,1,54.5,3.4
Joshua Kelley,LAC,13,20.6,69,287,22.1,4.2,2,25,14,101,7.2,,50.8,3.9
JaMycal Hasty,NE,17,15.0,46,194,11.4,4.2,2,26,20,126,6.3,1,50.0,2.9
Rashaad Penny,CAR,5,34.0,57,346,69.2,6.1,2,5,4,16,4.0,,48.2,9.6
Zonovan Knight,DET,7,28.3,85,300,42.9,3.5,1,14,13,100,7.7,,46.0,6.6
Caleb Huntley,ATL,12,10.0,76,366,30.5,4.8,1,2,2,3,1.5,,42.9,3.6
Boston Scott,LA,15,11.3,54,217,14.5,4.0,3,6,5,15,3.0,,41.2,2.7
Elijah Mitchell,SF,5,16.0,45,279,55.8,6.2,2,4,3,7,2.3,,40.6,8.1
Matt Breida,NYG,17,15.5,54,220,12.9,4.1,1,25,20,118,5.9,,39.8,2.3
Nyheim Hines,CLE,16,0.0,24,33,2.1,1.4,1,37,30,241,8.0,1,39.4,2.5
Justin Jackson,DET,16,11.6,42,170,10.6,4.0,1,19,12,101,8.4,1,39.1,2.4
Rex Burkhead,HOU,16,15.7,26,80,5.0,3.1,,51,37,204,5.5,1,34.4,2.1
Mark Ingram,NO,10,20.5,62,233,23.3,3.8,1,18,16,68,4.3,,34.1,3.4
Raheem Blackshear,CAR,13,7.0,23,77,5.9,3.3,3,12,10,93,9.3,,33.0,2.5
Jordan Mason,SF,16,6.7,43,258,16.1,6.0,1,,,,,,31.8,2.0
Ty Johnson,BUF,17,10.1,30,160,9.4,5.3,1,24,12,88,7.3,,30.8,1.8
Marlon Mack,ARI,6,7.0,16,84,14.0,5.2,1,10,8,99,12.4,1,30.3,5.0
DeeJay Dallas,ARI,15,13.9,35,186,12.4,5.3,,19,17,126,7.4,,30.2,2.0
Justice Hill,BAL,15,17.7,49,262,17.5,5.3,,12,12,58,4.8,,30.0,2.0
Ameer Abdullah,LV,17,11.0,4,20,1.2,5.0,,32,25,211,8.4,1,29.1,1.7
J.D. McKissic,WAS,8,27.6,22,95,11.9,4.3,,40,27,173,6.4,,28.8,3.6
Dare Ogunbowale,HOU,17,10.8,42,123,7.2,2.9,1,26,20,104,5.2,,28.7,1.7
Malik Davis,DAL,12,6.5,38,161,13.4,4.2,1,7,6,63,10.5,,28.4,2.4
Travis Homer,CHI,10,16.5,19,74,7.4,3.9,,18,16,157,9.8,1,27.1,2.7
Javonte Williams,DEN,4,35.5,47,204,51.0,4.3,,22,16,76,4.8,,26.0,6.5
Gary Brightwell,NYG,17,7.1,31,141,8.3,4.5,1,8,5,39,7.8,,24.0,1.4
Craig Reynolds,DET,9,11.4,23,102,11.3,4.4,,10,9,116,12.9,,21.8,2.4
Kyren Williams,LA,10,14.1,35,139,13.9,4.0,,12,9,76,8.4,,21.5,2.1
Avery Williams,ATL,17,8.3,22,109,6.4,5.0,1,14,13,61,4.7,,21.0,1.2
Pierre Strong,CLE,15,1.9,10,100,6.7,10.0,1,7,7,42,6.0,,20.2,1.3
Mike Boone,CAR,9,12.0,24,102,11.3,4.2,,15,9,96,10.7,,19.8,2.2
Jonathan Williams,WAS,13,7.6,37,152,11.7,4.1,,10,7,40,5.7,,19.2,1.5
Tevin Coleman,SF,5,6.2,12,26,5.2,2.2,1,3,3,44,14.7,1,19.0,3.8
Brandon Bolden,LV,16,8.5,17,66,4.1,3.9,,9,9,57,6.3,1,18.3,1.1
Malcolm Brown,LA,11,8.5,18,81,7.4,4.5,1,6,5,37,7.4,,17.8,1.6
Darrel Williams,NO,6,16.5,21,102,17.0,4.9,1,8,4,9,2.3,,17.1,2.9
Corey Clement,ARI,9,8.0,15,55,6.1,3.7,1,7,5,54,10.8,,16.9,1.9
Benny Snell,DET,17,3.3,20,90,5.3,4.5,1,2,2,17,8.5,,16.7,1.0
Sony Michel,LA,10,12.5,36,106,10.6,2.9,,13,9,53,5.9,,15.9,1.6
Ronald Jones,DAL,6,5.8,17,70,11.7,4.1,1,1,1,22,22.0,,15.2,2.5
Hassan Haskins,TEN,15,9.7,25,93,6.2,3.7,,12,11,57,5.2,,15.0,1.0
Keaontay Ingram,KC,12,8.6,27,60,5.0,2.2,1,5,4,21,5.3,,14.1,1.2
Salvon Ahmed,MIA,12,2.9,12,64,5.3,5.3,1,1,1,8,8.0,,13.2,1.1
Royce Freeman,DAL,4,26.5,41,117,29.2,2.9,,8,6,33,5.5,,13.0,3.2
Kevin Harris,NE,5,4.8,18,52,10.4,2.9,1,,,,,,11.2,2.2
Snoop Conner,DAL,8,4.2,12,42,5.2,3.5,1,,,,,,10.2,1.3
