Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPG,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG
Tyrion Davis-Price,PHI,6,11.5,34,99,16.5,2.9,,2,,,,,9.9,1.7
Chris Evans,CIN,12,3.6,,,0.0,,,4,3,38,12.7,1,9.8,0.8
Darrynton Evans,BUF,6,7.8,14,64,10.7,4.6,,1,1,33,33.0,,9.7,1.6
Phillip Lindsay,IND,3,22.0,15,49,16.3,3.3,,8,6,19,3.2,,8.8,2.9
Jordan Wilkins,CLE,4,10.0,13,58,14.5,4.5,,8,6,29,4.8,,8.7,2.2
Tyler Badie,DEN,1,9.0,1,,0.0,0.0,,1,1,24,24.0,1,8.4,8.4
Jaret Patterson,LAC,3,12.7,17,78,26.0,4.6,,1,,,,,7.8,2.6
Ke'Shawn Vaughn,NE,15,4.9,17,53,3.5,3.1,,4,3,19,6.3,,7.2,0.5
Zamir White,LV,14,2.5,17,70,5.0,4.1,,,,,,,7.0,0.5
Trayveon Williams,CIN,8,6.5,6,30,3.8,5.0,,3,2,30,15.0,,6.0,0.8
Myles Gaskin,MIN,4,9.8,10,26,6.5,2.6,,6,4,28,7.0,,5.4,1.4
Isaiah Spiller,LAC,6,8.5,18,41,6.8,2.3,,3,3,13,4.3,,5.4,0.9
Julius Chestnut,TEN,6,5.5,9,12,2.0,1.3,,3,3,41,13.7,,5.3,0.9
Spencer Brown,CAR,2,15.5,9,43,21.5,4.8,,4,2,10,5.0,,5.3,2.6
David Johnson,NO,5,11.6,12,24,4.8,2.0,,4,4,47,11.8,,5.1,1.0
Ronnie Rivers,LA,8,3.0,9,21,2.6,2.3,,5,5,29,5.8,,5.0,0.6
Patrick Taylor,SF,14,3.6,10,31,2.2,3.1,,1,1,17,17.0,,4.8,0.3
Dwayne Washington,DEN,12,2.2,11,38,3.2,3.5,,1,1,7,7.0,,4.5,0.4
Trestan Ebner,CHI,17,5.1,24,54,3.2,2.2,,8,2,8,4.0,,4.2,0.2
Eno Benjamin,NO,3,20.0,4,13,4.3,3.2,,1,1,9,9.0,,4.2,1.4
Anthony McFarland,PIT,1,21.0,6,30,30.0,5.0,,2,2,11,5.5,,4.1,4.1
Kene Nwangwu,MIN,17,3.4,9,14,0.8,1.6,,2,2,21,10.5,,3.5,0.2
Tony Jones,ARI,4,7.0,8,16,4.0,2.0,,6,3,18,6.0,,3.4,0.8
Larry Rountree,HOU,4,6.0,13,19,4.8,1.5,,2,2,14,7.0,,3.3,0.8
Jonathan Ward,TEN,3,3.3,5,25,8.3,5.0,,3,2,7,3.5,,3.2,1.1
Giovani Bernard,TB,8,6.8,8,28,3.5,3.5,,2,2,-1,-0.5,,2.7,0.3
D'Ernest Johnson,JAC,15,3.1,4,17,1.1,4.2,,3,3,7,2.3,,2.4,0.2
Mike Davis,BAL,8,4.2,8,18,2.2,2.2,,2,2,4,2.0,,2.2,0.3
Ty Chandler,MIN,3,4.0,6,20,6.7,3.3,,,,,,,2.0,0.7
Trey Sermon,IND,2,2.5,2,19,9.5,9.5,,,,,,,1.9,0.9
J.J. Taylor,HOU,1,17.0,10,9,9.0,0.9,,1,1,8,8.0,,1.7,1.7
Jerome Ford,CLE,13,2.5,8,12,0.9,1.5,,,,,,,1.2,0.1
Reggie Bonnafon,WAS,1,3.0,3,8,8.0,2.7,,,,,,,0.8,0.8
Kylin Hill,GB,2,0.5,1,7,3.5,7.0,,,,,,,0.7,0.3
Godwin Igwebuike,PIT,5,3.8,3,4,0.8,1.3,,1,1,3,3.0,,0.7,0.1
Devine Ozigbo,DET,4,2.8,3,4,1.0,1.3,,1,1,3,3.0,,0.7,0.2
Ty'Son Williams,ARI,1,2.0,,,0.0,,,1,1,5,5.0,,0.5,0.5
Demetric Felton,CIN,8,9.9,1,-4,-0.5,-4.0,,4,2,8,4.0,,0.4,0.1
Duke Johnson,BUF,1,5.0,2,4,4.0,2.0,,,,,,,0.4,0.4
Damien Williams,ARI,1,10.0,2,2,2.0,1.0,,,,,,,0.2,0.2
Jordan Howard,NO,2,1.5,1,1,0.5,1.0,,,,,,,0.1,0.1
Derrick Gore,WAS,,,,,,,,,,,,,,
Clint Ratkovich,ATL,,,,,,,,,,,,,,
Jeremy McNichols,WAS,,,,,,,,,,,,,,
John Kelly,CLE,,,,,,,,,,,,,,
Tyreik McAllister,LV,,,,,,,,,,,,,,
Sincere McCormick,LV,,,,,,,,,,,,,,
Brittain Brown,LV,,,,,,,,,,,,,,
Trey Ragas,LA,,,,,,,,,,,,,,
Tyler Goodson,IND,,,,,,,,,,,,,,
John Lovett,PIT,,,,,,,,,,,,,,
ZaQuandre White,MIA,,,,,,,,,,,,,,
Mekhi Sargent,JAC,,,,,,,,,,,,,,
Kennedy Brooks,PHI,,,,,,,,,,,,,,
Wayne Gallman,SEA,,,,,,,,,,,,,,
Patrick Laird,TB,,,,,,,,,,,,,,
Kenjon Barner,TB,,,,,,,,,,,,,,
Jason Huntley,IND,,,,,,,,,,,,,,
Alex Armah,WAS,,,,,,,,,,,,,,
Bryant Koback,SEA,,,,,,,,,,,,,,
Gerrid Doaks,HOU,,,,,,,,,,,,,,
BJ Baylor,ATL,,,,,,,,,,,,,,
Jake Funk,DET,5,0.0,,,0.0,,,,,,,,,0.0
Nate McCrary,CLE,,,,,,,,,,,,,,
Darwin Thompson,LV,,,,,,,,,,,,,,
Sandro Platzgummer,NYG,,,,,,,,,,,,,,
Antonio Williams,NYG,,,,,,,,,,,,,,
Taiwan Jones,NYG,16,2.0,,,0.0,,,,,,,,,0.0
Rico Dowdle,DAL,5,0.2,,,0.0,,,,,,,,,0.0
Aaron Shampklin,PIT,,,,,,,,,,,,,,
D'Vonte Price,IND,,,,,,,,,,,,,,
Qadree Ollison,PIT,3,9.0,,,0.0,,,,,,,,,0.0
Master Teague,PIT,,,,,,,,,,,,,,
Damarea Crockett,NYJ,,,,,,,,,,,,,,
Jermar Jefferson,DET,,,,,,,,,,,,,,
Austin Walter,LV,,,,,,,,,,,,,,
Elijah Holyfield,CIN,,,,,,,,,,,,,,
Jashaun Corbin,NYG,,,,,,,,,,,,,,
La'Mical Perine,KC,,,,,,,,,,,,,,
