Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG
K.J. Osborn,NE,17,51.4,3,6,2.0,,90,60,650,10.8,5,95.6,5.6
Jahan Dotson,WAS,12,54.2,2,-7,-3.5,,61,35,523,14.9,7,95.6,8.0
Courtland Sutton,DEN,15,58.8,1,5,5.0,,109,64,829,13.0,2,95.4,6.4
Diontae Johnson,CAR,17,61.3,7,25,3.6,,147,86,882,10.3,,94.7,5.6
Hollywood Brown,KC,12,65.2,1,1,1.0,,107,67,709,10.6,3,89.0,7.4
Brandin Cooks,DAL,13,50.5,2,7,3.5,,93,57,699,12.3,3,88.6,6.8
DeAndre Hopkins,TEN,9,61.7,,,,,96,64,717,11.2,3,87.7,9.7
Parris Campbell,PHI,17,57.6,5,58,11.6,,91,63,623,9.9,3,86.1,5.1
Darius Slayton,NYG,16,42.3,,,,,71,46,724,15.7,2,82.4,5.2
Marquez Valdes-Scantling,KC,17,45.7,1,-3,-3.0,,81,42,687,16.4,2,80.4,4.7
Isaiah McKenzie,NYG,15,37.0,9,55,6.1,1,65,42,423,10.1,4,77.8,5.2
Richie James,KC,17,30.9,2,6,3.0,,70,57,569,10.0,4,75.5,4.4
Devin Duvernay,JAC,14,45.1,12,84,7.0,1,49,37,407,11.0,3,73.1,5.2
Russell Gage,TB,13,40.7,,,,,70,51,426,8.4,5,72.6,5.6
Rashid Shaheed,NO,12,24.8,4,57,14.2,1,34,28,488,17.4,2,72.5,6.0
DeVante Parker,PHI,13,42.2,,,,,47,31,539,17.4,3,71.9,5.5
Noah Brown,HOU,16,51.4,,,,,74,43,555,12.9,3,71.5,4.5
Alec Pierce,IND,16,45.3,,,,,78,41,593,14.5,2,71.3,4.5
Marvin Jones,DET,16,43.8,,,,,81,46,529,11.5,3,70.9,4.4
Olamide Zaccheaus,WAS,17,43.4,2,7,3.5,,61,40,533,13.3,3,70.0,4.1
Mecole Hardman,KC,8,37.9,4,31,7.8,2,34,25,297,11.9,4,68.8,8.6
DJ Chark,LAC,11,48.5,,,,,52,30,502,16.7,3,68.2,6.2
Chris Moore,ARI,16,40.2,3,3,1.0,,74,48,548,11.4,2,67.1,4.2
Michael Gallup,LV,14,52.7,,,,,74,39,424,10.9,4,66.4,4.7
DeAndre Carter,LV,17,41.1,2,-15,-7.5,,65,46,538,11.7,3,66.3,3.9
Josh Reynolds,DEN,14,41.2,,,,,59,38,479,12.6,3,65.9,4.7
Corey Davis,NYJ,13,47.5,,,,,64,32,536,16.8,2,65.6,5.0
Marquise Goodwin,CLE,13,32.3,2,5,2.5,,42,27,387,14.3,4,63.2,4.9
Kalif Raymond,DET,17,33.8,7,36,5.1,,64,47,616,13.1,,63.2,3.7
Robert Woods,HOU,17,47.6,,,,,91,53,527,9.9,2,62.7,3.7
Darnell Mooney,ATL,12,51.0,1,2,2.0,,61,40,493,12.3,2,61.5,5.1
Greg Dortch,ARI,16,32.1,7,44,6.3,,64,52,467,9.0,2,61.1,3.8
Chase Claypool,BUF,15,0.0,9,59,6.6,,79,46,451,9.8,1,61.0,4.1
Nico Collins,HOU,10,44.2,,,,,66,37,481,13.0,2,60.1,6.0
Romeo Doubs,GB,13,40.7,1,11,11.0,,67,42,425,10.1,3,59.6,4.6
Isaiah Hodgins,NYG,8,52.1,,,,,42,33,351,10.6,4,59.1,7.4
Nick Westbrook-Ikhine,TEN,17,41.1,,,,,50,25,397,15.9,3,57.7,3.4
Demarcus Robinson,LA,17,36.6,,,,,75,48,458,9.5,2,55.8,3.3
Treylon Burks,TEN,11,35.7,4,47,11.8,,54,33,444,13.5,1,55.1,5.0
Terrace Marshall,CAR,14,40.0,,,,,47,28,490,17.5,1,55.0,3.9
Van Jefferson,PIT,11,42.5,,,,,44,24,369,15.4,3,54.9,5.0
Trent Sherfield,MIN,17,35.9,,,,,51,30,417,13.9,2,53.7,3.2
Kendrick Bourne,NE,16,24.9,6,39,6.5,,48,35,434,12.4,1,53.3,3.3
Allen Robinson,NYG,10,56.2,,,,,52,33,339,10.3,3,51.9,5.2
Quez Watkins,PIT,17,40.1,3,1,0.3,,51,33,354,10.7,3,51.5,3.0
Elijah Moore,CLE,16,44.0,5,5,1.0,,65,37,446,12.1,1,51.1,3.2
Trenton Irwin,CIN,9,31.9,1,11,11.0,,23,15,231,15.4,4,48.2,5.4
Randall Cobb,NYJ,13,28.5,,,,,50,34,417,12.3,1,47.7,3.7
Jauan Jennings,SF,16,30.6,,,,,56,35,416,11.9,1,47.6,3.0
Jamal Agnew,JAC,15,9.4,12,86,7.2,,30,23,187,8.1,3,47.3,3.2
Rondale Moore,ATL,8,57.4,6,-5,-0.8,,56,41,414,10.1,1,46.9,5.9
Julio Jones,PHI,10,35.1,5,45,9.0,,43,24,299,12.5,2,46.4,4.6
Dante Pettis,CHI,17,30.8,2,37,18.5,,41,19,245,12.9,3,46.2,2.7
Laviska Shenault,SEA,13,13.8,9,65,7.2,1,32,27,272,10.1,1,45.7,3.5
Ben Skowronek,HOU,14,49.7,1,17,17.0,1,61,39,376,9.6,,45.3,3.2
Tutu Atwell,LA,13,23.5,9,34,3.8,1,35,18,298,16.6,1,45.2,3.5
Tyquan Thornton,NE,13,36.5,3,16,5.3,1,45,22,247,11.2,2,44.3,3.4
Nelson Agholor,BAL,16,24.9,,,,,53,31,362,11.7,2,44.2,2.8
Ray-Ray McCloud,ATL,17,16.8,4,78,19.5,1,25,14,243,17.4,1,44.1,2.6
Equanimeous St. Brown,NO,16,34.7,6,54,9.0,,38,21,323,15.4,1,43.7,2.7
Justin Watson,KC,17,29.1,,,,,34,15,315,21.0,2,43.5,2.6
Kadarius Toney,KC,9,0.0,7,82,11.7,1,20,16,171,10.7,2,43.3,4.8
Hunter Renfrow,LV,10,37.7,,,,,50,36,330,9.2,2,43.0,4.3
Braxton Berrios,MIA,17,17.9,9,91,10.1,2,32,18,145,8.1,,39.7,2.3
Shi Smith,KC,17,27.4,,,,,41,22,296,13.5,2,39.6,2.3
Damiere Byrd,HOU,14,19.9,,,,,23,13,268,20.6,2,38.8,2.8
Rashod Bateman,BAL,6,31.7,,,,,28,15,285,19.0,2,38.5,6.4
A.J. Green,ARI,15,35.5,,,,,47,24,236,9.8,2,37.6,2.5
Jarvis Landry,NO,9,33.4,,,,,39,25,272,10.9,1,35.2,3.9
Michael Thomas,NO,3,45.3,,,,,22,16,171,10.7,3,35.1,11.7
Robbie Chosen,MIA,16,0.0,,,,,44,20,282,14.1,1,34.2,2.1
Tre'Quan Smith,DET,15,21.6,,,,,27,19,278,14.6,1,33.8,2.3
Kendall Hinton,DEN,12,38.3,2,13,6.5,,33,24,311,13.0,,32.4,2.7
Phillip Dorsett,DEN,15,32.7,,,,,40,20,257,12.9,1,31.7,2.1
Wan'Dale Robinson,NYG,6,38.2,2,-1,-0.5,,31,23,227,9.9,1,28.6,4.8
KhaDarel Hodge,ATL,17,10.4,,,,,20,13,202,15.5,1,28.2,1.7
Dyami Brown,WAS,15,8.5,1,15,15.0,,14,5,143,28.6,2,27.8,1.9
Ashton Dulin,IND,12,17.4,2,8,4.0,,22,15,207,13.8,1,27.5,2.3
Velus Jones,CHI,12,27.2,9,103,11.4,1,14,7,107,15.3,1,27.0,2.2
Byron Pringle,WAS,11,21.5,,,,,16,10,135,13.5,2,25.5,2.3
Khalil Shakir,BUF,14,13.9,,,,,20,10,161,16.1,1,24.1,1.7
Jalen Nailor,MIN,15,5.1,,,,,13,9,179,19.9,1,23.9,1.6
Brandon Powell,MIN,17,17.1,17,80,4.7,,32,24,156,6.5,,23.6,1.4
River Cracraft,MIA,11,13.0,,,,,14,9,102,11.3,2,22.2,2.0
Amari Rodgers,IND,6,25.5,2,7,3.5,,17,12,154,12.8,1,22.1,3.7
Marquez Callaway,PIT,14,25.1,,,,,32,16,158,9.9,1,21.8,1.6
Sterling Shepard,NYG,3,55.0,,,,,24,13,154,11.8,1,21.4,7.1
Skyy Moore,KC,16,19.6,3,24,8.0,,33,22,250,11.4,,21.4,1.3
David Bell,CLE,16,30.9,,,,,35,24,214,8.9,,21.4,1.3
Zach Pascal,ARI,17,18.0,1,,0.0,,19,15,150,10.0,1,21.0,1.2
Keelan Cole,LV,14,25.4,,,,,21,10,141,14.1,1,20.1,1.4
Scott Miller,PIT,15,16.5,1,8,8.0,,40,23,185,8.0,,19.3,1.3
Jalen Reagor,NE,17,5.1,4,25,6.2,,13,8,104,13.0,1,18.9,1.1
KJ Hamler,BUF,7,32.0,2,23,11.5,,14,7,165,23.6,,18.8,2.7
Denzel Mims,PIT,10,27.0,,,,,25,11,186,16.9,,18.6,1.9
N'Keal Harry,MIN,7,21.1,,,,,9,7,116,16.6,1,17.6,2.5
Steven Sims,HOU,12,23.7,13,70,5.4,,23,14,104,7.4,,17.4,1.4
DeSean Jackson,BAL,7,15.7,,,,,17,9,153,17.0,,15.3,2.2
Anthony Schwartz,MIA,11,7.2,4,57,14.2,1,10,4,51,12.8,,14.8,1.3
Cedrick Wilson,NO,15,14.5,1,8,8.0,,18,12,136,11.3,,14.4,1.0
Breshad Perriman,IND,11,17.6,2,-7,-3.5,,19,9,110,12.2,1,14.3,1.3
Samori Toure,GB,11,7.0,,,,,10,5,82,16.4,1,14.2,1.3
Tom Kennedy,DET,7,32.4,,,,,15,8,141,17.6,,14.1,2.0
Jameson Williams,DET,6,13.0,1,40,40.0,,9,1,41,41.0,1,14.1,2.4
Kenny Golladay,NYG,12,18.8,,,,,17,6,81,13.5,1,14.1,1.2
Jeff Smith,ARI,11,10.3,,,,,11,8,134,16.8,,13.4,1.2
T.Y. Hilton,DAL,3,20.0,,,,,10,7,121,17.3,,12.1,4.0
Jalen Virgil,DEN,9,7.4,,,,,5,2,75,37.5,1,11.5,1.3
David Sills,DEN,9,26.9,,,,,17,11,106,9.6,,10.6,1.2
John Brown,BUF,3,3.3,,,,,2,1,42,42.0,1,10.2,3.4
Marcus Johnson,NYG,14,20.7,,,,,22,9,99,11.0,,9.9,0.7
Sammy Watkins,BAL,3,18.7,,,,,5,3,119,39.7,,9.9,3.3
Dax Milne,WAS,15,6.1,,,,,7,6,37,6.2,1,9.7,0.6
Cam Sims,CAR,17,17.7,,,,,18,8,89,11.1,,8.9,0.5
Michael Bandy,DEN,10,19.8,,,,,21,10,89,8.9,,8.9,0.9
Brandon Johnson,DEN,7,25.6,,,,,14,6,42,7.0,1,8.2,1.2
Kevin White,NO,7,18.6,,,,,5,2,74,37.0,,7.4,1.1
Freddie Swain,MIA,3,36.3,,,,,6,4,74,18.5,,7.4,2.5
Ty Montgomery,NE,1,21.0,2,-2,-1.0,,4,3,15,5.0,1,7.3,7.3
Gunner Olszewski,NYG,16,13.6,8,39,4.9,,7,5,53,10.6,,7.2,0.5
Dee Eskridge,SEA,10,15.8,2,10,5.0,,13,7,58,8.3,,6.8,0.7
Jake Kumerow,BUF,6,13.0,,,,,7,4,64,16.0,,6.4,1.1
Jalen Guyton,LV,3,7.0,,,,,4,2,64,32.0,,6.4,2.1
Jamison Crowder,WAS,4,23.2,,,,,13,6,60,10.0,,6.0,1.5
Mike Strachan,CAR,13,6.2,,,,,9,3,59,19.7,,5.9,0.5
Mike Thomas,BAL,10,4.5,,,,,10,2,38,19.0,,5.8,0.6
Deven Thompkins,TB,5,16.2,2,26,13.0,,10,5,32,6.4,,5.8,1.2
Trent Taylor,SF,16,10.8,4,15,3.8,,10,6,62,10.3,,5.7,0.4
Cody Hollister,TEN,11,10.7,,,,,5,3,54,18.0,,5.4,0.5
James Proche,CLE,15,11.5,,,,,17,8,62,7.8,,5.2,0.3
Chris Conley,SF,7,10.3,,,,,5,4,46,11.5,,4.6,0.7
Andre Baccellia,ARI,8,11.5,,,,,10,7,45,6.4,,4.5,0.6
Racey McMath,DAL,5,12.8,1,4,4.0,,8,2,40,20.0,,4.4,0.9
Laquon Treadwell,BAL,6,20.3,,,,,10,6,42,7.0,,4.2,0.7
Michael Woods,CLE,10,12.7,1,-5,-5.0,,10,5,45,9.0,,4.0,0.4
Kyle Philips,TEN,4,16.0,,,,,13,8,78,9.8,,3.8,0.9
Tylan Wallace,BAL,9,6.9,,,,,7,4,33,8.3,,3.3,0.4
Tim Jones,JAC,17,5.9,,,,,4,3,30,10.0,,3.0,0.2
Jaelon Darden,CLE,2,1.5,1,2,2.0,,2,2,26,13.0,,2.8,1.4
Tyrie Cleveland,IND,6,16.0,,,,,7,2,28,14.0,,2.8,0.5
DJ Turner,LV,9,3.6,4,26,6.5,,1,,,,,2.6,0.3
Daylen Baldwin,MIN,1,12.0,,,,,2,2,25,12.5,,2.5,2.5
Dareke Young,SEA,13,5.1,,,,,2,2,24,12.0,,2.4,0.2
Simi Fehoko,LAC,5,3.8,,,,,4,3,24,8.0,,2.4,0.5
Dezmon Patmon,CAR,1,24.0,,,,,6,2,24,12.0,,2.4,2.4
Andy Isabella,BUF,2,3.0,1,1,1.0,,5,2,21,10.5,,2.2,1.1
Cade Johnson,SEA,3,18.3,,,,,4,2,21,10.5,,2.1,0.7
Pharoh Cooper,ARI,5,8.2,4,15,3.8,,2,2,6,3.0,,2.1,0.4
Penny Hart,ATL,9,3.0,,,,,4,3,20,6.7,,2.0,0.2
Lil'Jordan Humphrey,DEN,6,18.5,,,,,4,2,20,10.0,,2.0,0.3
Danny Gray,SF,13,3.2,1,9,9.0,,7,1,10,10.0,,1.9,0.1
Keith Kirkwood,NO,5,25.0,,,,,4,2,18,9.0,,1.8,0.4
Cole Beasley,NYG,2,8.5,,,,,2,2,18,9.0,,1.8,0.9
Juwann Winfree,IND,3,11.7,,,,,4,1,17,17.0,,1.7,0.6
Dennis Houston,NYG,2,30.0,,,,,6,2,16,8.0,,1.6,0.8
Frank Darby,ATL,5,5.6,,,,,1,1,15,15.0,,1.5,0.3
Bryan Edwards,NO,7,0.0,,,,,5,3,15,5.0,,1.5,0.2
Quintez Cephus,BUF,4,12.2,,,,,3,2,15,7.5,,1.5,0.4
Nsimba Webster,CHI,2,5.0,,,,,3,2,14,7.0,,1.4,0.7
Austin Trammell,LA,6,3.7,,,,,4,2,13,6.5,,1.3,0.2
Jalen Tolbert,DAL,8,4.5,,,,,3,2,12,6.0,,1.2,0.1
Montrell Washington,KC,15,5.8,5,30,6.0,,9,4,2,0.5,,1.2,0.1
Miles Boykin,NYG,16,6.1,,,,,3,2,11,5.5,,1.1,0.1
Jalen Camp,CAR,2,7.5,,,,,1,1,7,7.0,,0.7,0.3
Maurice Alexander,DET,4,1.0,,,,,1,1,7,7.0,,0.7,0.2
Jacob Harris,PHI,7,4.3,,,,,1,1,6,6.0,,0.6,0.1
C.J. Board,TEN,4,5.8,,,,,1,1,6,6.0,,0.6,0.1
Jason Moore,DET,6,3.0,,,,,2,1,5,5.0,,0.5,0.1
Mason Kinsey,TEN,2,10.0,,,,,1,1,3,3.0,,0.3,0.1
Erik Ezukanma,MIA,1,10.0,,,,,1,1,3,3.0,,0.3,0.3
Cody White,SEA,1,10.0,,,,,1,1,2,2.0,,0.2,0.2
Braylon Sanders,MIA,3,9.0,,,,,3,2,17,8.5,,-0.3,-0.1
Ihmir Smith-Marsette,CAR,6,0.0,1,-1,-1.0,,4,1,15,15.0,,-0.6,-0.1
Deonte Harty,BAL,4,6.0,,,,,2,2,13,6.5,,-0.7,-0.2
KaVontae Turpin,DAL,17,4.4,3,17,5.7,,2,1,9,9.0,,-1.4,-0.1
Isaiah Coulter,BUF,,,,,,,,,,,,,
Dazz Newsome,SF,,,,,,,,,,,,,
D.J. Montgomery,IND,,,,,,,,,,,,,
Travis Fulgham,GB,,,,,,,,,,,,,
Dede Westbrook,GB,,,,,,,,,,,,,
Thomas Hennigan,MIN,,,,,,,,,,,,,
Tyron Billy-Johnson,DAL,2,0.0,,,,,,,,,,,0.0
Greg Ward,PHI,,,,,,,,,,,,,
J.J. Arcega-Whiteside,ATL,,,,,,,,,,,,,
Reggie Roberson,TEN,,,,,,,,,,,,,
Marcus Kemp,WAS,3,11.3,,,,,,,,,,,0.0
Mike Harley,CLE,,,,,,,,,,,,,
Cody Thompson,SEA,,,,,,,,,,,,,
Robert Foster,IND,,,,,,,,,,,,,
DeMichael Harris,IND,,,,,,,,,,,,,
Stanley Berryhill,DET,4,0.5,,,,,,,,,,,0.0
Dai'Jean Dixon,NO,,,,,,,,,,,,,
Collin Johnson,CHI,,,,,,,,,,,,,
Malik Taylor,NYJ,,,,,,,,,,,,,
Dre Miller,GB,,,,,,,,,,,,,
Albert Wilson,LV,,,,,,,,,,,,,
John Metchie,HOU,,,,,,,,,,,,,
Tim Patrick,DEN,,,,,,,,,,,,,
Jeff Cotton,GB,,,,,,,,,,,,,
Connor Wedington,SEA,,,,,,,,,,,,,
C.J. Saunders,ATL,,,,,,,,,,,,,
Victor Bolden,HOU,,,,,,,,,,,,,
Kevin Austin,JAC,,,,,,,,,,,,,
Jaylon Moore,JAC,,,,,,,,,,,,,
Josh Johnson,DET,,,,,,,,,,,,,
Bo Melton,GB,,,,,,,,,,,,,
Diontae Spencer,NYJ,,,,,,,,,,,,,
Brandon Zylstra,DET,2,0.0,,,,,,,,,,,0.0
Kwamie Lassiter,CIN,,,,,,,,,,,,,
Deon Cain,PHI,,,,,,,,,,,,,
Jerrion Ealy,KC,,,,,,,,,,,,,
Trinity Benson,CLE,,,,,,,,,,,,,
Keke Coutee,MIA,8,1.0,,,,,1,1,20,20.0,,,0.0
Alex Bachman,HOU,,,,,,,,,,,,,
Tanner Gentry,BUF,3,3.7,,,,,1,,,,,,0.0
Easop Winston,SEA,,,,,,,,,,,,,
Preston Williams,CAR,,2.0,,,,,,,,,,,
Darrius Shepherd,LAC,,,,,,,,,,,,,
Joe Reed,CHI,,,,,,,,,,,,,
Lance Lenoir,LA,,,,,,,,,,,,,
Tavon Austin,BUF,,,,,,,,,,,,,
Jerreth Sterns,LA,,,,,,,,,,,,,
Shemar Bridges,BAL,,,,,,,,,,,,,
Kirk Merritt,NO,,17.0,,,,,,,,,,,
Daurice Fountain,DET,,,,,,,,,,,,,
Cameron Batson,ATL,,,,,,,,,,,,,
Kaylon Geiger,TB,,,,,,,,,,,,,
Kalil Pimpleton,NYG,,,,,,,,,,,,,
John Hightower,LAC,,,,,,,,,,,,,
Jakeem Grant,CLE,,,,,,,,,,,,,
Drew Estrada,HOU,,,,,,,,,,,,,
Binjimen Victor,BAL,2,2.0,,,,,,,,,,,0.0
Jaquarii Roberson,LA,,,,,,,,,,,,,
Alex Erickson,LAC,2,0.0,,,,,,,,,,,0.0
Corey Coleman,KC,,,,,,,,,,,,,
Derek Wright,CAR,,,,,,,,,,,,,
Antonio Callaway,DAL,,,,,,,,,,,,,
Kendric Pryor,CIN,,,,,,,,,,,,,
Josh Ali,ATL,2,3.5,,,,,1,,,,,,0.0
Britain Covey,PHI,17,3.2,,,,,,,,,,,0.0
Auden Tate,ARI,,,,,,,,,,,,,
Travis Toivonen,MIN,,,,,,,,,,,,,
Slade Bolden,ATL,,,,,,,,,,,,,
Raleigh Webb,TB,10,1.6,,,,,,,,,,,0.0
Rashard Higgins,CAR,,3.0,,,,,,,,,,,
KeeSean Johnson,BUF,,,,,,,,,,,,,
James Washington,IND,2,5.5,,,,,1,,,,,,0.0
Malik Turner,IND,3,0.0,,,,,,,,,,,0.0
Willie Snead,SF,,,,,,,,,,,,,
Tarik Black,BAL,,,,,,,,,,,,,
Tay Martin,SF,,,,,,,,,,,,,
Antoine Wesley,LV,,,,,,,,,,,,,
Javon Wims,CAR,,,,,,,,,,,,,
Stanley Morgan,NO,14,4.3,,,,,1,,,,,,0.0
Dan Chisena,ARI,2,0.0,,,,,,,,,,,0.0
Calvin Ridley,TEN,,,,,,,,,,,,,
Tyler Johnson,LA,,,,,,,,,,,,,
Chester Rogers,CLE,3,3.0,,,,,,,,,,,0.0
Davion Davis,WAS,,,,,,,,,,,,,
Andre Roberts,CAR,3,2.0,,,,,,,,,,,0.0
Dillon Stoner,LV,,,,,,,,,,,,,
Trishton Jackson,MIN,,,,,,,,,,,,,
Emeka Emezie,ATL,,,,,,,,,,,,,
Matthew Slater,NE,17,4.8,,,,,,,,,,,0.0
Jaydon Mickens,IND,,,,,,,,,,,,,
Cyril Grayson,CLE,,,,,,,,,,,,,
Vyncint Smith,IND,,,,,,,,,,,,,
Calvin Austin,PIT,,,,,,,,,,,,,
Kaden Davis,ARI,,,,,,,,,,,,,
David Moore,CAR,,,,,,,,,,,,,
Josh Gordon,TEN,2,9.0,,,,,1,,,,,,0.0
Chris Lacy,LV,,,,,,,,,,,,,
Blake Proehl,MIN,,,,,,,,,,,,,
Ra'Shaun Henry,SEA,,,,,,,,,,,,,
Tajae Sharpe,SF,,,,,,,,,,,,,
Calvin Jackson,MIA,,,,,,,,,,,,,
Bailey Gaither,BAL,,,,,,,,,,,,,
Kristian Wilkerson,LV,,,,,,,,,,,,,
Cornell Powell,KC,,1.0,,,,,,,,,,,
Lynn Bowden,NO,,,,,,,,,,,,,
Anthony Miller,KC,,,,,,,,,,,,,
Michael Young,HOU,,,,,,,,,,,,,
Kyric McGowan,WAS,,,,,,,,,,,,,
Tre Nixon,NE,,,,,,,,,,,,,
Josh Malone,PIT,,,,,,,,,,,,,
Brandon Smith,ARI,,,,,,,,,,,,,
Makai Polk,BAL,,,,,,,,,,,,,
DaeSean Hamilton,MIA,,,,,,,,,,,,,
Justyn Ross,KC,,,,,,,,,,,,,
Isaiah Weston,CLE,,,,,,,,,,,,,
Kevin Kassis,SEA,,,,,,,,,,,,,
Jared Bernhardt,ATL,,,,,,,,,,,,,
Dez Fitzpatrick,PIT,,,,,,,,,,,,,
Dontario Drummond,DAL,,,,,,,,,,,,,
Devon Allen,PHI,,,,,,,,,,,,,
Marquez Stevenson,CAR,,,,,,,,,,,,,
Isaiah Zuber,LV,,,,,,,,,,,,,
Ethan Fernea,IND,,,,,,,,,,,,,
Kawaan Baker,NE,,,,,,,,,,,,,
Johnny Johnson,HOU,,9.0,,,,,,,,,,,
Ja'Marcus Bradley,PIT,,,,,,,,,,,,,
Seth Williams,JAC,,,,,,,,,,,,,
Irvin Charles,NYJ,,,,,,,,,,,,,
Marken Michel,WAS,,,,,,,,,,,,,
Lance McCutcheon,NYJ,10,5.0,,,,,5,,,,,,0.0
Keelan Doss,LAC,,,,,,,,,,,,,
