Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG
Justin Jefferson,MIN,17,63.5,4,24,6.0,1,184,128,1809,14.1,8,240.7,14.2
Davante Adams,LV,17,61.4,3,-1,-0.3,,180,100,1516,15.2,14,235.5,13.9
Tyreek Hill,MIA,17,47.1,7,32,4.6,1,170,119,1710,14.4,7,222.2,13.1
A.J. Brown,PHI,17,59.1,,,,,145,88,1496,17.0,11,211.6,12.4
Stefon Diggs,HOU,16,52.2,1,-3,-3.0,,154,108,1429,13.2,11,208.6,13.0
CeeDee Lamb,DAL,17,59.7,10,47,4.7,,156,107,1359,12.7,9,194.6,11.4
Jaylen Waddle,MIA,17,46.2,3,26,8.7,,117,75,1356,18.1,8,184.2,10.8
Amari Cooper,CLE,17,57.5,,,,,132,78,1160,14.9,9,169.0,9.9
Amon-Ra St. Brown,DET,16,52.0,9,95,10.6,,146,106,1161,11.0,6,161.6,10.1
DeVonta Smith,PHI,17,63.7,,,,,136,95,1196,12.6,7,159.6,9.4
Christian Kirk,JAC,17,58.3,5,11,2.2,,133,84,1108,13.2,8,157.9,9.3
Ja'Marr Chase,CIN,12,66.1,5,8,1.6,,134,87,1046,12.0,9,155.4,13.0
Tyler Lockett,SEA,16,49.9,,,,,117,84,1033,12.3,9,153.3,9.6
Terry McLaurin,WAS,17,62.5,7,29,4.1,,120,77,1191,15.5,5,152.0,8.9
Brandon Aiyuk,SF,17,58.9,2,23,11.5,,114,78,1015,13.0,8,149.8,8.8
Mike Evans,TB,15,61.8,,,,,127,77,1124,14.6,6,148.4,9.9
Tee Higgins,CIN,16,46.6,,,,,109,74,1029,13.9,7,146.9,9.2
Jerry Jeudy,CLE,15,47.5,4,40,10.0,,100,67,972,14.5,6,137.2,9.1
DK Metcalf,SEA,17,52.5,,,,,141,90,1048,11.6,6,136.8,8.0
DJ Moore,CHI,17,54.1,10,53,5.3,,118,63,888,14.1,7,136.1,8.0
Garrett Wilson,NYJ,17,52.0,4,4,1.0,,147,83,1103,13.3,4,132.7,7.8
Cooper Kupp,LA,9,58.9,9,52,5.8,1,98,75,812,10.8,6,126.4,14.0
Chris Olave,NO,15,40.5,,,,,119,72,1042,14.5,4,126.2,8.4
Gabe Davis,JAC,15,61.7,,,,,93,48,836,17.4,7,123.6,8.2
Christian Watson,GB,14,36.2,7,80,11.4,2,66,41,611,14.9,7,123.1,8.8
Chris Godwin,TB,15,58.7,3,5,1.7,,142,104,1023,9.8,3,118.8,7.9
Michael Pittman,IND,16,66.6,3,30,10.0,,141,99,925,9.3,4,117.5,7.3
Zay Jones,ARI,16,58.1,4,18,4.5,,121,82,823,10.0,5,116.1,7.3
Allen Lazard,NYJ,15,57.5,2,,0.0,,100,60,788,13.1,6,114.8,7.7
George Pickens,PIT,17,51.9,3,24,8.0,1,84,52,801,15.4,4,114.5,6.7
Mike Williams,NYJ,13,54.2,,,,,93,63,895,14.2,4,113.5,8.7
Jakobi Meyers,LV,14,49.3,2,-11,-5.5,,96,67,804,12.0,6,113.3,8.1
Deebo Samuel,SF,13,50.7,42,232,5.5,3,94,56,632,11.3,2,112.4,8.6
Curtis Samuel,BUF,17,50.0,38,187,4.9,1,92,64,656,10.3,4,112.3,6.6
Adam Thielen,CAR,17,61.3,1,4,4.0,,107,70,716,10.2,6,110.0,6.5
Tyler Boyd,TEN,16,49.8,,,,,82,58,762,13.1,5,109.1,6.8
JuJu Smith-Schuster,NE,16,47.8,,,,,101,78,933,12.0,3,107.3,6.7
Drake London,ATL,17,48.2,,,,,117,72,866,12.0,4,106.6,6.3
Donovan Peoples-Jones,DET,17,62.1,1,2,2.0,,96,61,839,13.8,3,100.1,5.9
Keenan Allen,CHI,10,51.5,1,8,8.0,,89,66,752,11.4,4,98.0,9.8
Joshua Palmer,LAC,16,56.1,1,4,4.0,,107,72,769,10.7,3,97.3,6.1
Mack Hollins,BUF,17,60.6,4,40,10.0,,94,57,690,12.1,4,97.2,5.7
