Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPG,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG
Jonathan Taylor,IND,17,38.8,332,1811,106.5,5.5,18,51,40,360,9.0,2,333.1,19.6
Austin Ekeler,WAS,16,37.5,206,911,56.9,4.4,12,94,70,647,9.2,8,273.8,17.1
Joe Mixon,HOU,16,43.6,292,1205,75.3,4.1,13,48,42,314,7.5,3,245.9,15.4
Najee Harris,PIT,17,52.2,307,1200,70.6,3.9,7,94,74,467,6.3,3,226.7,13.3
James Conner,ARI,15,39.9,202,752,50.1,3.7,15,39,37,375,10.1,3,220.7,14.7
Ezekiel Elliott,DAL,17,42.7,237,1002,58.9,4.2,10,65,47,287,6.1,2,205.1,12.1
Nick Chubb,CLE,14,30.3,228,1259,89.9,5.5,8,25,20,174,8.7,1,195.3,14.0
Damien Harris,BUF,15,25.1,202,929,61.9,4.6,15,21,18,132,7.3,,192.1,12.8
Alvin Kamara,NO,13,43.9,240,898,69.1,3.7,4,67,47,439,9.3,5,187.7,14.4
Antonio Gibson,NE,16,33.7,258,1037,64.8,4.0,7,52,42,294,7.0,3,187.1,11.7
Leonard Fournette,BUF,14,44.5,180,812,58.0,4.5,8,84,69,454,6.6,2,186.6,13.3
Cordarrelle Patterson,PIT,16,28.4,153,618,38.6,4.0,6,69,52,548,10.5,5,182.6,11.4
Aaron Jones,MIN,15,38.5,171,799,53.3,4.7,4,65,52,391,7.5,6,177.0,11.8
Derrick Henry,BAL,8,51.4,219,937,117.1,4.3,10,20,18,154,8.6,,175.3,21.9
Dalvin Cook,BAL,13,40.7,249,1159,89.2,4.7,6,49,34,224,6.6,,172.3,13.3
Josh Jacobs,GB,15,37.9,217,872,58.1,4.0,9,64,54,348,6.4,,172.0,11.5
Melvin Gordon,BAL,16,30.5,203,918,57.4,4.5,8,38,28,213,7.6,2,167.1,10.4
Javonte Williams,DEN,17,30.6,203,903,53.1,4.4,4,53,43,316,7.3,3,161.9,9.5
Devin Singletary,NYG,17,37.4,188,870,51.2,4.6,7,50,40,228,5.7,1,157.8,9.3
David Montgomery,DET,13,41.3,225,849,65.3,3.8,7,51,42,301,7.2,,154.0,11.8
AJ Dillon,GB,17,23.2,187,803,47.2,4.3,5,37,34,313,9.2,2,151.6,8.9
