Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG
Garrett Wilson,NYJ,17,47.8,4,,0.0,,168,95,1042,11.0,3,118.2,7.0
Tank Dell,HOU,11,44.1,11,51,4.6,,75,47,709,15.1,7,118.0,10.7
Gabe Davis,JAC,17,42.7,1,-2,-2.0,,81,45,746,16.6,7,116.4,6.8
Romeo Doubs,GB,17,36.6,,,,,96,59,674,11.4,8,115.4,6.8
Drake London,ATL,16,53.7,,,,,110,69,905,13.1,2,105.4,6.6
Cooper Kupp,LA,12,53.3,1,-3,-3.0,,95,59,737,12.5,5,105.4,8.8
Rashid Shaheed,NO,15,34.5,7,37,5.3,,75,46,719,15.6,5,103.6,6.9
Diontae Johnson,CAR,13,27.4,,,,,87,51,717,14.1,5,101.7,7.8
Darius Slayton,NYG,17,40.4,,,,,79,50,770,15.4,4,101.0,5.9
Tee Higgins,CIN,12,26.2,,,,,76,42,656,15.6,5,95.6,8.0
Curtis Samuel,BUF,16,29.8,7,39,5.6,1,91,62,613,9.9,4,95.2,6.0
Christian Kirk,JAC,12,48.7,1,6,6.0,,85,57,787,13.8,3,93.3,7.8
Josh Downs,IND,17,44.1,,,,,98,68,771,11.3,2,89.1,5.2
Josh Reynolds,DEN,17,36.2,,,,,64,40,608,15.2,5,88.8,5.2
Jerry Jeudy,CLE,16,25.8,,,,,87,54,758,14.0,2,87.8,5.5
Jaxon Smith-Njigba,SEA,17,27.9,,,,,93,63,628,10.0,4,86.8,5.1
Hollywood Brown,KC,14,54.2,2,23,11.5,,101,51,574,11.3,4,83.7,6.0
Dontayvion Wicks,GB,15,23.1,1,1,1.0,,58,39,581,14.9,4,80.8,5.4
DJ Chark,LAC,15,48.5,,,,,66,35,525,15.0,5,80.5,5.4
Tyler Boyd,TEN,17,30.3,2,11,5.5,,98,67,667,10.0,2,78.8,4.6
Michael Wilson,ARI,13,45.1,,,,,58,38,565,14.9,3,76.5,5.9
Jahan Dotson,WAS,17,44.9,,,,,83,49,518,10.6,4,75.8,4.5
Khalil Shakir,BUF,17,22.2,1,10,10.0,,45,39,611,15.7,2,74.1,4.4
Tutu Atwell,LA,16,38.8,5,31,6.2,,67,39,483,12.4,3,73.4,4.6
Christian Watson,GB,9,38.9,4,11,2.8,,53,28,422,15.1,5,73.3,8.1
Wan'Dale Robinson,NYG,15,33.7,9,87,9.7,1,78,60,525,8.8,1,73.2,4.9
Elijah Moore,CLE,17,48.8,9,11,1.2,,104,59,640,10.8,2,73.1,4.3
Odell Beckham,MIA,14,22.5,,,,,64,35,565,16.1,3,72.5,5.2
K.J. Osborn,NE,16,35.6,,,,,75,48,540,11.3,3,72.0,4.5
Joshua Palmer,LAC,10,31.8,1,6,6.0,,61,38,581,15.3,2,68.7,6.9
Noah Brown,HOU,10,46.3,1,-1,-1.0,,55,33,567,17.2,2,68.6,6.9
Rondale Moore,ATL,17,39.2,28,178,6.4,1,62,40,352,8.8,1,65.0,3.8
Alec Pierce,IND,17,60.3,,,,,65,32,514,16.1,2,63.4,3.7
Kendrick Bourne,NE,8,46.4,1,4,4.0,,55,37,406,11.0,4,63.0,7.9
Kalif Raymond,DET,17,16.6,7,75,10.7,,44,35,489,14.0,1,62.4,3.7
Nelson Agholor,BAL,17,23.6,,,,,45,35,381,10.9,4,62.1,3.7
Justin Watson,KC,16,19.8,,,,,53,27,460,17.0,3,62.0,3.9
Demarcus Robinson,LA,16,18.1,1,23,23.0,,39,26,371,14.3,4,61.4,3.8
DeMario Douglas,NE,14,31.3,8,41,5.1,,79,49,561,11.4,,58.2,4.2
Nick Westbrook-Ikhine,TEN,14,30.5,,,,,45,28,370,13.2,3,57.0,4.1
Trey Palmer,TB,17,36.6,3,22,7.3,,68,39,385,9.9,3,56.7,3.3
Jameson Williams,DET,12,26.0,3,29,9.7,1,42,24,354,14.8,2,56.3,4.7
Quentin Johnston,LAC,17,22.0,3,9,3.0,,67,38,431,11.3,2,56.0,3.3
Brandon Johnson,DEN,13,14.3,,,,,30,19,284,14.9,4,54.4,4.2
Michael Gallup,LV,17,29.0,,,,,57,34,418,12.3,2,53.8,3.2
Tre Tucker,LV,16,12.6,10,77,7.7,,34,19,331,17.4,2,52.8,3.3
Michael Thomas,NO,10,49.0,,,,,64,39,448,11.5,1,50.8,5.1
Robert Woods,HOU,14,47.6,1,7,7.0,,75,40,426,10.7,1,49.3,3.5
A.T. Perry,NO,10,25.1,,,,,18,12,246,20.5,4,48.6,4.9
Darnell Mooney,ATL,15,39.3,2,5,2.5,,61,31,414,13.4,1,47.9,3.2
KaVontae Turpin,DAL,16,6.4,11,110,10.0,1,18,12,127,10.6,3,47.7,3.0
Cedrick Wilson,NO,15,19.7,,,,,38,22,296,13.5,3,47.6,3.2
Chris Moore,ARI,17,28.1,2,39,19.5,,35,22,424,19.3,,46.3,2.7
Rashod Bateman,BAL,16,23.3,1,18,18.0,,56,32,367,11.5,1,44.5,2.8
Zay Jones,ARI,9,41.3,,,,,64,34,321,9.4,2,44.1,4.9
Marvin Mims,DEN,16,13.6,9,30,3.3,,33,22,377,17.1,1,42.7,2.7
Jonathan Mingo,CAR,15,56.7,,,,,85,43,418,9.7,,41.8,2.8
Greg Dortch,ARI,16,18.0,1,5,5.0,,41,24,280,11.7,2,40.5,2.5
DeVante Parker,PHI,13,40.5,,,,,55,33,394,11.9,,39.4,3.0
Isaiah Hodgins,NYG,17,18.9,,,,,33,21,230,11.0,3,39.0,2.3
Brandon Powell,MIN,17,16.1,5,17,3.4,,44,29,324,11.2,1,38.1,2.2
Jake Bobo,SEA,17,12.9,1,3,3.0,1,25,19,196,10.3,2,37.9,2.2
Trenton Irwin,CIN,16,14.6,,,,,32,25,316,12.6,1,37.6,2.4
Jalin Hyatt,NYG,17,23.2,,,,,40,23,373,16.2,,37.3,2.2
Allen Lazard,NYJ,14,36.1,,,,,49,23,311,13.5,1,37.1,2.6
Jalen Tolbert,DAL,17,17.7,,,,,36,22,268,12.2,2,36.8,2.2
Calvin Austin,PIT,17,15.4,11,57,5.2,1,30,17,180,10.6,1,35.7,2.1
Andrei Iosivas,CIN,16,8.1,,,,,25,15,116,7.7,4,35.6,2.2
Marquez Valdes-Scantling,KC,16,26.0,,,,,42,21,315,15.0,1,35.5,2.2
David Bell,CLE,15,11.7,,,,,23,14,167,11.9,3,34.7,2.3
Lil'Jordan Humphrey,DEN,17,10.2,,,,,19,13,162,12.5,3,34.2,2.0
Skyy Moore,KC,14,28.3,3,23,7.7,,38,21,244,11.6,1,32.7,2.3
Jauan Jennings,SF,13,19.1,,,,,33,19,265,13.9,1,32.5,2.5
JuJu Smith-Schuster,NE,11,36.7,,,,,47,29,260,9.0,1,32.0,2.9
Xavier Gipson,NYJ,17,21.3,8,68,8.5,1,38,21,229,10.9,,31.7,1.9
Mike Williams,NYJ,3,55.7,1,3,3.0,,26,19,249,13.1,1,31.2,10.4
Braxton Berrios,MIA,16,21.5,1,11,11.0,,33,27,238,8.8,1,30.9,1.9
Bo Melton,GB,5,8.6,3,21,7.0,,24,16,218,13.6,1,29.9,6.0
Alex Erickson,LAC,8,13.0,,,,,29,16,232,14.5,1,29.2,3.6
Olamide Zaccheaus,WAS,17,16.7,,,,,20,10,164,16.4,2,28.4,1.7
Scott Miller,PIT,17,12.8,,,,,16,11,161,14.6,2,28.1,1.7
Allen Robinson,NYG,17,27.2,,,,,49,34,280,8.2,,28.0,1.6
Jamal Agnew,JAC,11,17.3,4,-2,-0.5,,21,14,225,16.1,1,26.3,2.4
Kadarius Toney,KC,13,14.6,11,31,2.8,,38,27,169,6.3,1,26.0,2.0
Julio Jones,PHI,11,7.1,,,,,19,11,74,6.7,3,25.4,2.3
Mack Hollins,BUF,13,23.5,,,,,30,18,251,13.9,,25.1,1.9
Ronnie Bell,SF,17,4.8,,,,,13,6,68,11.3,3,24.8,1.5
Treylon Burks,TEN,11,28.2,5,18,3.6,,30,16,221,13.8,,23.9,2.2
Hunter Renfrow,LV,17,14.9,,,,,37,25,255,10.2,,23.5,1.4
Cedric Tillman,CLE,14,41.3,1,8,8.0,,44,21,224,10.7,,23.2,1.7
KhaDarel Hodge,ATL,17,19.1,1,,0.0,,23,14,232,16.6,,23.2,1.4
Parker Washington,JAC,9,18.9,,,,,21,16,132,8.3,2,23.2,2.6
Dyami Brown,WAS,17,13.2,1,,0.0,,23,12,168,14.0,1,23.0,1.4
Quez Watkins,PIT,9,16.7,,,,,21,15,142,9.5,1,20.2,2.2
Jamison Crowder,WAS,17,6.5,,,,,20,16,159,9.9,1,19.9,1.2
Deonte Harty,BAL,16,7.8,4,,0.0,,21,15,150,10.0,1,19.0,1.2
Tyler Scott,CHI,17,17.9,7,41,5.9,,32,17,168,9.9,,18.9,1.1
Robbie Chosen,MIA,9,9.2,,,,,6,4,126,31.5,1,18.6,2.1
Malik Heath,GB,13,11.0,,,,,24,15,125,8.3,1,18.5,1.4
Ihmir Smith-Marsette,CAR,17,7.2,8,74,9.2,1,10,8,51,6.4,,18.5,1.1
River Cracraft,MIA,10,10.9,,,,,12,9,121,13.4,1,18.1,1.8
Deven Thompkins,TB,17,13.7,8,56,7.0,,25,17,83,4.9,1,17.9,1.1
Ray-Ray McCloud,ATL,12,12.2,3,30,10.0,,15,12,135,11.3,,16.5,1.4
John Metchie,HOU,16,17.9,1,4,4.0,,30,16,158,9.9,,16.2,1.0
Kyle Philips,TEN,9,8.9,,,,,22,15,181,12.1,,16.1,1.8
Jalen Reagor,NE,11,20.3,1,17,17.0,,23,7,138,19.7,,15.5,1.4
David Moore,CAR,7,11.6,,,,,7,5,94,18.8,1,15.4,2.2
Jalen Guyton,LV,8,14.6,,,,,21,10,89,8.9,1,14.9,1.9
Derius Davis,LAC,17,4.5,14,101,7.2,,17,15,66,4.4,,14.7,0.9
Trent Sherfield,MIN,17,9.4,,,,,22,11,86,7.8,1,14.6,0.9
Tyquan Thornton,NE,9,18.3,3,51,17.0,,23,13,91,7.0,,14.2,1.6
Byron Pringle,WAS,17,7.1,,,,,22,14,161,11.5,,14.1,0.8
Terrace Marshall,CAR,9,29.6,,,,,33,19,139,7.3,,13.9,1.5
Xavier Hutchinson,HOU,16,16.4,5,49,9.8,,19,8,90,11.3,,13.9,0.9
Ben Skowronek,HOU,17,8.0,2,9,4.5,,12,8,66,8.3,1,13.5,0.8
Randall Cobb,NYJ,11,18.2,,,,,17,5,39,7.8,1,11.9,1.1
Jason Brownlee,NYJ,7,28.4,,,,,8,5,56,11.2,1,11.6,1.7
D.J. Montgomery,IND,7,8.7,,,,,8,3,56,18.7,1,11.6,1.7
Lynn Bowden,NO,15,15.6,5,32,6.4,,16,11,83,7.5,,11.5,0.8
Laviska Shenault,SEA,8,11.5,12,55,4.6,,10,10,60,6.0,,11.5,1.4
Van Jefferson,PIT,12,27.0,1,4,4.0,,28,12,101,8.4,,10.5,0.9
Parris Campbell,PHI,12,12.1,,,,,27,20,104,5.2,,10.4,0.9
Sterling Shepard,NYG,15,7.1,1,6,6.0,,22,10,57,5.7,1,10.3,0.7
Mecole Hardman,KC,6,6.5,1,3,3.0,,21,14,118,8.4,,10.1,1.7
Marquise Goodwin,CLE,12,7.2,4,33,8.2,,13,4,67,16.8,,10.0,0.8
Keith Kirkwood,NO,13,10.5,,,,,9,5,37,7.4,1,9.7,0.7
Richie James,KC,9,5.3,,,,,14,10,114,11.4,,9.4,1.0
Tim Jones,JAC,17,13.6,,,,,18,11,83,7.5,,8.3,0.5
Samori Toure,GB,11,9.5,,,,,18,8,78,9.8,,7.8,0.7
Charlie Jones,CIN,11,2.8,2,13,6.5,,9,7,64,9.1,,7.7,0.7
Velus Jones,CHI,14,6.1,8,51,6.4,,7,4,20,5.0,,7.1,0.5
Chris Conley,SF,8,1.1,,,,,6,3,69,23.0,,6.9,0.9
Simi Fehoko,LAC,6,0.0,,,,,2,1,9,9.0,1,6.9,1.2
Tyler Johnson,LA,1,0.0,,,,,3,2,8,4.0,1,6.8,6.8
Jalen Brooks,DAL,7,6.4,,,,,6,6,64,10.7,,6.4,0.9
Equanimeous St. Brown,NO,7,14.0,,,,,6,5,62,12.4,,6.2,0.9
Rakim Jarrett,TB,10,8.4,1,,0.0,,9,4,60,15.0,,6.0,0.6
Donovan Peoples-Jones,DET,8,6.2,,,,,7,5,58,11.6,,5.8,0.7
DeAndre Carter,LV,17,5.1,3,18,6.0,,7,4,39,9.8,,5.7,0.3
Isaiah McKenzie,NYG,13,9.1,3,14,4.7,,14,11,82,7.5,,5.6,0.4
Justyn Ross,KC,10,6.2,,,,,11,6,53,8.8,,5.3,0.5
Ty Montgomery,NE,13,2.6,3,9,3.0,,12,5,40,8.0,,4.9,0.4
Mike Strachan,CAR,4,7.8,,,,,3,1,45,45.0,,4.5,1.1
Britain Covey,PHI,16,1.2,,,,,6,4,42,10.5,,4.2,0.3
Elijah Cooks,JAC,9,2.1,,,,,4,3,38,12.7,,3.8,0.4
Devin Duvernay,JAC,13,9.2,4,15,3.8,,9,4,18,4.5,,3.3,0.3
Keelan Doss,LAC,5,2.4,,,,,13,6,33,5.5,,3.3,0.7
Jalen Nailor,MIN,6,14.0,,,,,6,3,29,9.7,,2.9,0.5
Trishton Jackson,MIN,7,7.6,,,,,4,2,9,4.5,,2.9,0.4
Chase Claypool,BUF,9,3.7,,,,,7,4,26,6.5,,2.6,0.3
Steven Sims,HOU,3,3.3,1,1,1.0,,3,3,25,8.3,,2.6,0.9
Erik Ezukanma,MIA,2,14.5,5,22,4.4,,1,,,,,2.2,1.1
Zach Pascal,ARI,14,10.7,,,,,15,4,19,4.8,,1.9,0.1
Kayshon Boutte,NE,5,18.4,,,,,7,2,19,9.5,,1.9,0.4
Miles Boykin,NYG,17,2.0,,,,,4,3,17,5.7,,1.7,0.1
Laquon Treadwell,BAL,5,12.0,,,,,3,1,16,16.0,,1.6,0.3
Marvin Jones,DET,6,29.7,,,,,10,5,35,7.0,,1.5,0.2
Willie Snead,SF,4,1.8,,,,,3,2,14,7.0,,1.4,0.3
Malik Taylor,NYJ,3,7.7,,,,,4,2,13,6.5,,1.3,0.4
Tylan Wallace,BAL,11,4.6,,,,,2,1,11,11.0,,1.1,0.1
Collin Johnson,CHI,3,3.7,,,,,1,1,11,11.0,,1.1,0.4
Cody Thompson,SEA,7,1.3,,,,,1,1,10,10.0,,1.0,0.1
Austin Trammell,LA,16,4.2,,,,,7,4,29,7.3,,0.9,0.1
Mason Kinsey,TEN,6,4.2,,,,,1,1,6,6.0,,0.6,0.1
Dee Eskridge,SEA,4,4.2,2,5,2.5,,1,,,,,0.5,0.1
Colton Dowell,TEN,10,3.6,,,,,2,1,3,3.0,,0.3,0.0
Antoine Green,DET,9,6.1,,,,,2,1,2,2.0,,0.2,0.0
Kwamie Lassiter,CIN,1,5.0,,,,,1,1,2,2.0,,0.2,0.2
James Proche,CLE,10,5.9,,,,,5,,,,,-2.0,-0.2
Trent Taylor,SF,17,5.3,1,-2,-2.0,,2,,,,,-2.2,-0.1
Gunner Olszewski,NYG,10,0.4,,,,,1,1,,0.0,,-4.0,-0.4
Braylon Sanders,MIA,,,,,,,,,,,,,
Matt Landers,CAR,,,,,,,,,,,,,
Bryan Thompson,BUF,,,,,,,,,,,,,
Shaquan Davis,PHI,,,,,,,,,,,,,
Andy Isabella,BUF,2,1.0,,,,,,,,,,,0.0
Tyron Billy-Johnson,DAL,,,,,,,,,,,,,
Tyrell Shavers,BUF,,,,,,,,,,,,,
Greg Ward,PHI,,,,,,,,,,,,,
Mitchell Tinsley,WAS,,,,,,,,,,,,,
Justin Shorter,BUF,,,,,,,,,,,,,
Marquez Callaway,PIT,,,,,,,,,,,,,
Charleston Rambo,PHI,,,,,,,,,,,,,
Duece Watts,PIT,,,,,,,,,,,,,
DJ Turner,LV,10,0.3,,,,,,,,,,,0.0
Shi Smith,KC,,,,,,,,,,,,,
Thayer Thomas,MIN,,,,,,,,,,,,,
Terrell Bynum,IND,,,,,,,,,,,,,
Isaiah Winstead,SF,,,,,,,,,,,,,
Jared Wayne,HOU,,,,,,,,,,,,,
Dontay Demus,BAL,,,,,,,,,,,,,
Brycen Tremayne,WAS,,,,,,,,,,,,,
Tim Patrick,DEN,,,,,,,,,,,,,
Racey McMath,DAL,,,,,,,,,,,,,
David Durden,DAL,,,,,,,,,,,,,
Dareke Young,SEA,6,0.0,,,,,,,,,,,0.0
C.J. Saunders,ATL,,,,,,,,,,,,,
Dennis Houston,NYG,,,,,,,,,,,,,
Griffin Hebert,PHI,,,,,,,,,,,,,
Jaylon Moore,JAC,,,,,,,,,,,,,
Trey Quinn,DET,,,,,,,,,,,,,
Grant DuBose,GB,,,,,,,,,,,,,
N'Keal Harry,MIN,,,,,,,,,,,,,
Trinity Benson,CLE,,,,,,,,,,,,,
Jacob Copeland,KC,,,,,,,,,,,,,
Alex Bachman,HOU,,,,,,,,,,,,,
Russell Gage,TB,,,,,,,,,,,,,
Joseph Ngata,PHI,,,,,,,,,,,,,
Damiere Byrd,HOU,1,19.0,,,,,2,,,,,,0.0
Easop Winston,SEA,,,,,,,,,,,,,
Shedrick Jackson,CIN,5,0.0,,,,,1,,,,,,0.0
Kirk Merritt,NO,,,,,,,,,,,,,
Daurice Fountain,DET,,,,,,,,,,,,,
Frank Darby,ATL,,,,,,,,,,,,,
Jontre Kirklin,NO,,,,,,,,,,,,,
Andre Baccellia,ARI,5,0.4,,,,,,,,,,,0.0
Cade Johnson,SEA,,,,,,,,,,,,,
Mathew Sexton,MIA,,,,,,,,,,,,,
Jakeem Grant,CLE,,,,,,,,,,,,,
Sean Ryan,BAL,,,,,,,,,,,,,
Derek Wright,CAR,,,,,,,,,,,,,
Cole Beasley,NYG,,,,,,,,,,,,,
Michael Woods,CLE,,,,,,,,,,,,,
Kendric Pryor,CIN,,,,,,,,,,,,,
Josh Ali,ATL,,,,,,,,,,,,,
Jeff Smith,ARI,,,,,,,,,,,,,
Thyrick Pitts,GB,,,,,,,,,,,,,
Kazmeir Allen,WAS,,,,,,,,,,,,,
T.J. Luther,NE,,,,,,,,,,,,,
Raleigh Webb,TB,,,,,,,,,,,,,
Danny Gray,SF,,,,,,,,,,,,,
Freddie Swain,MIA,,,,,,,,,,,,,
Maurice Alexander,DET,,,,,,,,,,,,,
Daniel Arias,ARI,,,,,,,,,,,,,
KJ Hamler,BUF,,,,,,,,,,,,,
Tarik Black,BAL,,,,,,,,,,,,,
Tyrie Cleveland,IND,,,,,,,,,,,,,
Tay Martin,SF,,,,,,,,,,,,,
Stanley Morgan,NO,,,,,,,,,,,,,
Montrell Washington,KC,6,0.0,,,,,,,,,,,0.0
Dan Chisena,ARI,4,0.0,,,,,,,,,,,0.0
Chris Blair,ATL,,,,,,,,,,,,,
Malik Knowles,MIN,,,,,,,,,,,,,
Davion Davis,WAS,,,,,,,,,,,,,
Zay Malone,ATL,,,,,,,,,,,,,
David Sills,DEN,,,,,,,,,,,,,
Anthony Schwartz,MIA,,,,,,,,,,,,,
Xavier Smith,LA,,,,,,,,,,,,,
Matthew Slater,NE,16,0.0,,,,,,,,,,,0.0
Jaydon Mickens,IND,,,,,,,,,,,,,
Penny Hart,ATL,,,,,,,,,,,,,
Tre'Shaun Harrison,TEN,,,,,,,,,,,,,
Jalen Camp,CAR,,,,,,,,,,,,,
Keelan Cole,LV,,,,,,,,,,,,,
Jalen Virgil,DEN,,,,,,,,,,,,,
Lucky Jackson,MIN,,,,,,,,,,,,,
Kaden Davis,ARI,,,,,,,,,,,,,
Jaelon Darden,CLE,1,0.0,,,,,,,,,,,0.0
Denzel Mims,PIT,,,,,,,,,,,,,
Kearis Jackson,TEN,2,0.0,,,,,,,,,,,0.0
Marcell Ateman,BUF,,,,,,,,,,,,,
Tyjon Lindsey,SEA,,,,,,,,,,,,,
Alex McGough,GB,,,,,,,,,,,,,
Ra'Shaun Henry,SEA,,,,,,,,,,,,,
Chase Cota,NYG,,,,,,,,,,,,,
Cephus Johnson,TB,,,,,,,,,,,,,
Kristian Wilkerson,LV,,,,,,,,,,,,,
Jesse Matthews,HOU,,,,,,,,,,,,,
Nsimba Webster,CHI,,,,,,,,,,,,,
Cornell Powell,KC,,,,,,,,,,,,,
Jacob Harris,PHI,,,,,,,,,,,,,
Daylen Baldwin,MIN,,,,,,,,,,,,,
Dezmon Patmon,CAR,,,,,,,,,,,,,
Anthony Miller,KC,,,,,,,,,,,,,
Tre Nixon,NE,,,,,,,,,,,,,
Tre'Quan Smith,DET,,,,,,,,,,,,,
Phillip Dorsett,DEN,2,3.0,,,,,3,,,,,,0.0
Dax Milne,WAS,,,,,,,,,,,,,
Cody White,SEA,,,,,,,,,,,,,
Jalen Cropper,DAL,,,,,,,,,,,,,
Tom Kennedy,DET,,,,,,,,,,,,,
Austin Watkins,PHI,,,,,,,,,,,,,
Malik Flowers,LV,,,,,,,,,,,,,
Dez Fitzpatrick,PIT,,,,,,,,,,,,,
Dylan Drummond,NYG,,,,,,,,,,,,,
Amari Rodgers,IND,3,6.7,,,,,2,,,,,,0.0
Devon Allen,PHI,2,0.0,,,,,,,,,,,0.0
Ethan Fernea,IND,,,,,,,,,,,,,
Martavis Bryant,DAL,,,,,,,,,,,,,
Bryce Ford-Wheaton,NYG,,,,,,,,,,,,,
Michael Bandy,DEN,1,0.0,,,,,,,,,,,0.0
Ryan Miller,TB,,,,,,,,,,,,,
Keilahn Harris,PIT,,,,,,,,,,,,,
Johnny Johnson,HOU,,,,,,,,,,,,,
Ashton Dulin,IND,,,,,,,,,,,,,
Seth Williams,JAC,,,,,,,,,,,,,
Cam Sims,CAR,,,,,,,,,,,,,
Irvin Charles,NYJ,12,1.8,,,,,1,,,,,,0.0
Juwann Winfree,IND,8,1.1,,,,,1,,,,,,0.0
Lance McCutcheon,NYJ,,,,,,,,,,,,,
