Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG
CeeDee Lamb,DAL,17,42.6,14,113,8.1,2,181,135,1749,13.0,12,268.2,15.8
Tyreek Hill,MIA,16,32.5,6,15,2.5,,171,119,1799,15.1,13,257.4,16.1
Amon-Ra St. Brown,DET,16,49.6,4,24,6.0,,164,119,1515,12.7,10,211.9,13.2
Mike Evans,TB,17,44.6,,,,,136,79,1255,15.9,13,203.5,12.0
Puka Nacua,LA,17,53.1,12,89,7.4,,160,105,1486,14.2,6,193.5,11.4
DJ Moore,CHI,17,46.8,4,21,5.2,1,136,96,1364,14.2,8,190.5,11.2
Deebo Samuel,SF,15,34.1,37,225,6.1,5,89,60,892,14.9,7,183.7,12.2
A.J. Brown,PHI,17,42.2,,,,,158,106,1456,13.7,7,183.6,10.8
Nico Collins,HOU,15,44.6,1,7,7.0,,109,80,1297,16.2,8,180.4,12.0
Brandon Aiyuk,SF,16,33.9,,,,,105,75,1342,17.9,7,174.2,10.9
Keenan Allen,CHI,13,46.8,2,6,3.0,,150,108,1243,11.5,7,170.9,13.1
Stefon Diggs,HOU,17,39.5,1,5,5.0,,160,107,1183,11.1,8,166.8,9.8
Ja'Marr Chase,CIN,16,37.1,3,-6,-2.0,,145,100,1216,12.2,7,162.7,10.2
Davante Adams,LV,17,40.7,,,,,175,103,1144,11.1,8,162.4,9.6
DK Metcalf,SEA,16,35.6,,,,,119,66,1114,16.9,8,159.4,10.0
Amari Cooper,CLE,15,54.7,,,,,128,72,1250,17.4,5,155.0,10.3
Calvin Ridley,TEN,17,51.5,9,23,2.6,,136,76,1016,13.4,8,153.9,9.1
Jayden Reed,GB,16,25.1,11,119,10.8,2,94,64,793,12.4,8,153.2,9.6
Jordan Addison,MIN,17,37.4,1,2,2.0,,108,70,911,13.0,10,151.3,8.9
DeAndre Hopkins,TEN,17,36.1,2,9,4.5,,137,75,1057,14.1,7,148.6,8.7
Jakobi Meyers,LV,16,40.1,4,24,6.0,2,106,71,807,11.4,8,147.6,9.2
DeVonta Smith,PHI,16,47.4,,,,,112,81,1066,13.2,7,146.6,9.2
George Pickens,PIT,17,35.8,3,18,6.0,,106,63,1140,18.1,5,145.8,8.6
Chris Olave,NO,16,45.1,,,,,138,87,1123,12.9,5,144.3,9.0
Michael Pittman,IND,16,60.6,,,,,156,109,1152,10.6,4,141.2,8.8
Justin Jefferson,MIN,10,43.2,1,-12,-12.0,,100,68,1074,15.8,5,134.2,13.4
Rashee Rice,KC,16,24.4,1,-3,-3.0,,102,79,938,11.9,7,133.5,8.3
Courtland Sutton,DEN,16,36.0,,,,,90,59,772,13.1,10,131.2,8.2
Zay Flowers,BAL,16,37.4,8,56,7.0,1,108,77,858,11.1,5,129.4,8.1
Adam Thielen,CAR,17,58.0,1,6,6.0,,137,103,1014,9.8,4,128.0,7.5
Jaylen Waddle,MIA,14,33.7,3,12,4.0,,104,72,1014,14.1,4,126.6,9.0
Chris Godwin,TB,17,46.2,4,38,9.5,1,130,83,1024,12.3,2,126.2,7.4
Terry McLaurin,WAS,17,46.5,,,,,132,79,1002,12.7,4,124.2,7.3
Tyler Lockett,SEA,17,34.9,,,,,122,79,894,11.3,5,123.4,7.3
Brandin Cooks,DAL,16,35.4,5,35,7.0,,81,54,657,12.2,8,119.2,7.5
