Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG
Anthony Schwartz,MIA,14,17.1,6,39,6.5,,23,10,135,13.5,1,23.4,1.7
Tajae Sharpe,SF,15,30.8,,,,,37,25,230,9.2,,23.0,1.5
Albert Wilson,LV,14,20.1,4,17,4.2,,39,25,213,8.5,,23.0,1.6
Breshad Perriman,IND,6,0.0,1,-3,-3.0,,18,11,167,15.2,1,22.4,3.7
Parris Campbell,PHI,6,28.2,,,,,20,10,162,16.2,1,22.2,3.7
James Proche,CLE,14,10.9,,,,,20,16,202,12.6,,20.2,1.4
JuJu Smith-Schuster,NE,5,44.4,3,9,3.0,1,28,15,129,8.6,,19.8,4.0
Noah Brown,HOU,12,17.6,,,,,25,16,184,11.5,,18.4,1.5
Dee Eskridge,SEA,10,16.4,4,59,14.8,,20,10,64,6.4,1,18.3,1.8
Mohamed Sanu,MIA,8,30.0,,,,,24,15,177,11.8,,17.7,2.2
KhaDarel Hodge,ATL,16,14.3,,,,,27,13,157,12.1,,17.7,1.1
N'Keal Harry,MIN,12,23.1,,,,,22,12,184,15.3,,16.4,1.4
Kristian Wilkerson,LV,3,20.0,,,,,8,4,42,10.5,2,16.2,5.4
Dyami Brown,WAS,15,18.1,1,-4,-4.0,,25,12,165,13.8,,16.1,1.1
Terrace Marshall,CAR,13,29.1,,,,,30,17,138,8.1,,15.8,1.2
Marcus Johnson,NYG,7,26.6,2,-2,-1.0,,19,9,160,17.8,,15.8,2.3
Dante Pettis,CHI,3,27.0,,,,,16,10,87,8.7,1,15.3,5.1
Trent Sherfield,MIN,17,10.5,,,,,20,9,87,9.7,1,14.7,0.9
Scott Miller,PIT,9,10.8,2,43,21.5,1,9,5,38,7.6,,14.1,1.6
Ty Montgomery,NE,14,14.9,15,44,2.9,,26,16,95,5.9,,13.9,1.0
Ben Skowronek,HOU,14,9.9,,,,,20,11,133,12.1,,13.3,1.0
Denzel Mims,PIT,11,20.1,,,,,23,8,133,16.6,,13.3,1.2
Kenny Stills,NO,13,13.2,1,1,1.0,,23,6,68,11.3,1,12.9,1.0
Tom Kennedy,DET,12,7.0,,,,,10,6,54,9.0,,12.4,1.0
Equanimeous St. Brown,NO,13,15.4,3,14,4.7,,17,9,98,10.9,,11.2,0.9
Jeff Smith,ARI,12,12.4,1,-1,-1.0,,17,8,113,14.1,,11.2,0.9
Dez Fitzpatrick,PIT,4,6.2,,,,,8,5,49,9.8,1,10.9,2.7
Phillip Dorsett,DEN,3,37.3,1,,0.0,,12,6,107,17.8,,10.7,3.6
Collin Johnson,CHI,12,16.1,,,,,21,11,105,9.5,,10.5,0.9
Trinity Benson,CLE,8,29.2,,,,,22,10,103,10.3,,10.3,1.3
Chris Hogan,NO,5,13.6,,,,,8,4,41,10.3,1,10.1,2.0
Shi Smith,KC,6,11.7,1,-3,-3.0,,11,6,104,17.3,,10.1,1.7
Auden Tate,ARI,7,12.0,,,,,4,3,39,13.0,1,9.9,1.4
Josh Gordon,TEN,12,9.3,,,,,14,5,32,6.4,1,9.2,0.8
Cameron Batson,ATL,4,15.5,2,15,7.5,,5,2,15,7.5,1,9.0,2.2
Dezmon Patmon,CAR,8,7.8,,,,,4,2,21,10.5,1,8.1,1.0
Preston Williams,CAR,8,16.6,1,7,7.0,,16,6,71,11.8,,7.8,1.0
KJ Hamler,BUF,3,29.3,,,,,10,5,74,14.8,,7.4,2.5
Dede Westbrook,GB,15,8.1,,,,,15,10,68,6.8,,6.8,0.5
Ja'Marcus Bradley,PIT,5,4.2,,,,,4,4,64,16.0,,6.4,1.3
Dax Milne,WAS,13,10.4,1,1,1.0,,14,9,83,9.2,,6.4,0.5
Penny Hart,ATL,17,5.4,,,,,12,7,59,8.4,,5.9,0.3
C.J. Board,TEN,6,9.2,1,6,6.0,,6,4,51,12.8,,5.7,1.0
Jason Moore,DET,2,22.5,,,,,4,3,56,18.7,,5.6,2.8
Amari Rodgers,IND,16,2.8,1,11,11.0,,8,4,45,11.3,,5.6,0.3
Alex Erickson,LAC,17,1.3,,,,,4,3,55,18.3,,5.5,0.3
Jaelon Darden,CLE,9,8.7,1,11,11.0,,12,6,43,7.2,,5.4,0.6
Mike Thomas,BAL,12,6.2,,,,,11,5,52,10.4,,5.2,0.4
William Fuller,MIA,2,32.5,,,,,8,4,26,6.5,,4.6,2.3
Trent Taylor,SF,4,0.0,,,,,3,2,41,20.5,,4.1,1.0
Gunner Olszewski,NYG,16,1.9,1,9,9.0,,3,2,31,15.5,,4.0,0.2
Greg Dortch,ARI,5,5.8,1,24,24.0,,3,3,15,5.0,,3.9,0.8
Curtis Samuel,BUF,5,16.8,4,11,2.8,,9,6,27,4.5,,3.8,0.8
Juwann Winfree,IND,7,13.0,,,,,13,8,58,7.3,,3.8,0.5
Kevin White,NO,6,5.8,,,,,5,1,38,38.0,,3.8,0.6
D.J. Montgomery,IND,3,13.0,,,,,6,3,36,12.0,,3.6,1.2
Pharoh Cooper,ARI,8,22.1,1,3,3.0,,11,4,33,8.3,,3.6,0.5
J.J. Arcega-Whiteside,ATL,16,0.9,,,,,5,2,36,18.0,,3.6,0.2
Seth Williams,JAC,2,21.5,,,,,1,1,34,34.0,,3.4,1.7
Andre Roberts,CAR,10,0.3,3,19,6.3,,2,1,35,35.0,,3.4,0.3
Trenton Irwin,CIN,7,2.3,,,,,5,2,34,17.0,,3.4,0.5
Cody Hollister,TEN,3,49.0,,,,,7,4,33,8.3,,3.3,1.1
Cody White,SEA,15,3.5,,,,,6,5,33,6.6,,3.3,0.2
