Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPG,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG
Tony Pollard,TEN,16,22.7,101,435,27.2,4.3,4,40,28,193,6.9,1,92.8,5.8
Cam Akers,MIN,13,22.5,145,625,48.1,4.3,2,14,11,123,11.2,1,90.8,7.0
Zack Moss,CIN,13,0.0,112,481,37.0,4.3,4,18,14,95,6.8,1,87.6,6.7
Damien Harris,BUF,10,25.1,137,691,69.1,5.0,2,7,5,52,10.4,,86.3,8.6
Malcolm Brown,LA,16,29.5,101,419,26.2,4.1,5,33,23,162,7.0,,86.1,5.4
Frank Gore,FA,15,25.3,187,653,43.5,3.5,2,19,16,89,5.6,,84.2,5.6
Raheem Mostert,MIA,8,29.6,104,521,65.1,5.0,2,19,16,156,9.8,1,83.7,10.5
Rex Burkhead,HOU,10,26.9,67,274,27.4,4.1,3,33,25,192,7.7,3,82.6,8.3
Joe Mixon,HOU,6,48.3,119,428,71.3,3.6,3,26,21,138,6.6,1,78.6,13.1
Alexander Mattison,LV,13,17.6,96,434,33.4,4.5,2,15,13,125,9.6,1,73.9,5.7
Christian McCaffrey,SF,3,0.0,59,225,75.0,3.8,5,19,17,149,8.8,1,73.4,24.5
Boston Scott,LA,16,23.9,80,374,23.4,4.7,1,36,25,212,8.5,1,70.6,4.4
Brian Hill,SF,16,20.4,100,465,29.1,4.7,1,30,25,199,8.0,,70.4,4.4
Carlos Hyde,JAC,10,26.0,81,356,35.6,4.4,4,20,16,93,5.8,,68.9,6.9
Devontae Booker,NYG,16,14.5,93,423,26.4,4.5,3,21,17,84,4.9,,68.7,4.3
Sony Michel,LA,9,20.0,79,449,49.9,5.7,1,9,7,114,16.3,1,68.3,7.6
James White,NE,14,23.6,35,121,8.6,3.5,2,62,49,375,7.7,1,67.6,4.8
Benny Snell,DET,16,17.6,111,368,23.0,3.3,4,14,10,61,6.1,,64.9,4.1
Phillip Lindsay,IND,11,24.5,118,502,45.6,4.3,1,14,7,28,4.0,,59.0,5.4
Joshua Kelley,LAC,14,21.1,111,354,25.3,3.2,2,23,23,148,6.4,,58.2,4.2
Salvon Ahmed,MIA,6,34.2,75,319,53.2,4.3,3,14,11,61,5.5,,58.0,9.7
Kalen Ballage,PIT,8,30.5,88,290,36.2,3.3,3,27,20,99,5.0,,56.9,7.1
Duke Johnson,BUF,11,32.2,77,235,21.4,3.1,1,35,28,249,8.9,1,56.4,5.1
Samaje Perine,DEN,16,12.8,63,301,18.8,4.8,3,12,11,66,6.0,,54.7,3.4
Kerryon Johnson,SF,16,16.5,52,181,11.3,3.5,2,26,19,187,9.8,1,52.8,3.3
Peyton Barber,LV,16,11.9,94,258,16.1,2.7,4,7,4,12,3.0,,51.0,3.2
Jordan Wilkins,CLE,15,12.1,84,308,20.5,3.7,1,16,12,105,8.8,,49.3,3.3
Le'Veon Bell,TB,9,21.3,63,254,28.2,4.0,2,17,13,99,7.6,,47.3,5.3
Ty Johnson,BUF,11,15.2,54,254,23.1,4.7,1,20,16,99,6.2,1,47.3,4.3
Mark Ingram,NO,11,14.5,72,299,27.2,4.2,2,8,6,50,8.3,,46.9,4.3
Justin Jackson,DET,9,20.8,59,270,30.0,4.6,,24,19,173,9.1,,46.3,5.1
Cordarrelle Patterson,PIT,16,12.9,64,232,14.5,3.6,1,25,21,132,6.3,,42.4,2.6
La'Mical Perine,KC,10,20.0,64,232,23.2,3.6,2,15,11,63,5.7,,41.5,4.2
Ito Smith,DAL,14,16.1,63,268,19.1,4.3,1,26,17,75,4.4,,40.3,2.9
DeeJay Dallas,ARI,12,12.2,34,108,9.0,3.2,2,20,17,111,6.5,1,39.9,3.3
AJ Dillon,GB,11,8.8,46,242,22.0,5.3,2,2,2,21,10.5,,38.3,3.5
Dion Lewis,NYG,16,19.0,29,115,7.2,4.0,2,30,19,127,6.7,1,38.2,2.4
Alfred Morris,NYG,9,6.6,55,238,26.4,4.3,1,4,3,19,6.3,1,37.7,4.2
Darrel Williams,NO,16,16.6,39,169,10.6,4.3,1,26,18,116,6.4,,36.5,2.3
Matt Breida,NYG,12,12.7,59,254,21.2,4.3,,10,9,96,10.7,,33.0,2.8
Jalen Richard,LV,13,14.4,22,123,9.5,5.6,1,23,19,138,7.3,,32.1,2.5
Jeremy McNichols,WAS,16,16.2,47,204,12.8,4.3,1,17,12,55,4.6,,31.9,2.0
Josh Adams,NO,8,9.2,29,157,19.6,5.4,2,8,6,29,4.8,,30.6,3.8
Devonta Freeman,BAL,5,27.2,54,172,34.4,3.2,1,10,7,58,8.3,,29.0,5.8
Rodney Smith,DET,7,13.4,41,156,22.3,3.8,1,11,9,59,6.6,,27.5,3.9
Darwin Thompson,LV,14,5.7,27,97,6.9,3.6,1,11,7,65,9.3,1,26.2,1.9
Royce Freeman,DAL,16,11.2,35,170,10.6,4.9,,13,12,81,6.8,,25.1,1.6
JaMycal Hasty,NE,8,11.9,39,148,18.5,3.8,1,8,7,33,4.7,,24.1,3.0
Travis Homer,CHI,9,15.3,25,88,9.8,3.5,,10,9,90,10.0,1,23.8,2.6
Chris Thompson,CHI,8,17.8,7,20,2.5,2.9,,23,20,146,7.3,1,22.6,2.8
Ameer Abdullah,LV,16,3.9,8,42,2.6,5.2,,9,8,58,7.3,2,22.0,1.4
Antonio Williams,NYG,1,28.0,12,63,63.0,5.2,2,1,1,20,20.0,,20.3,20.3
Alex Collins,SEA,3,17.3,18,77,25.7,4.3,2,2,1,4,4.0,,20.1,6.7
Dare Ogunbowale,HOU,14,12.2,32,145,10.4,4.5,,20,10,54,5.4,,19.9,1.4
Ke'Shawn Vaughn,NE,10,6.1,26,109,10.9,4.2,,10,5,34,6.8,1,18.3,1.8
D'Ernest Johnson,JAC,16,4.7,33,166,10.4,5.0,,4,3,14,4.7,,18.0,1.1
Trayveon Williams,CIN,10,5.9,26,157,15.7,6.0,,5,5,30,6.0,,16.7,1.7
Anthony McFarland,PIT,11,8.1,33,113,10.3,3.4,,9,6,54,9.0,,16.7,1.5
D'Onta Foreman,CLE,6,1.0,22,95,15.8,4.3,,1,1,5,5.0,1,16.0,2.7
Corey Clement,ARI,15,6.1,21,75,5.0,3.6,1,6,5,25,5.0,,16.0,1.1
T.J. Yeldon,BUF,3,14.0,10,70,23.3,7.0,,4,1,22,22.0,1,15.2,5.1
Tyler Ervin,GB,8,17.2,13,67,8.4,5.2,,15,11,84,7.6,,15.1,1.9
Reggie Bonnafon,WAS,2,11.5,12,69,34.5,5.8,,2,2,18,9.0,1,14.7,7.3
Darrynton Evans,BUF,5,6.4,14,54,10.8,3.9,,4,2,27,13.5,1,14.1,2.8
LeSean McCoy,FA,10,9.9,10,31,3.1,3.1,,19,15,101,6.7,,13.2,1.3
Mike Boone,CAR,16,1.8,11,59,3.7,5.4,1,2,2,10,5.0,,12.9,0.8
Patrick Laird,TB,16,8.0,13,72,4.5,5.5,,12,10,68,6.8,,12.0,0.8
Troymaine Pope,TB,6,0.0,15,76,12.7,5.1,,10,8,42,5.3,,11.8,2.0
Tarik Cohen,CAR,3,25.7,14,74,24.7,5.3,,9,6,41,6.8,,11.5,3.8
DeAndre Washington,MIA,3,25.7,28,86,28.7,3.1,,9,4,28,7.0,,11.4,3.8
J.J. Taylor,HOU,6,7.7,23,110,18.3,4.8,,2,1,4,4.0,,11.4,1.9
Artavis Pierce,DEN,5,2.4,6,34,6.8,5.7,1,,,,,,9.4,1.9
Saquon Barkley,PHI,2,33.5,19,34,17.0,1.8,,9,6,60,10.0,,9.4,4.7
Tevin Coleman,SF,8,6.5,28,53,6.6,1.9,,5,4,34,8.5,,8.7,1.1
Justice Hill,BAL,12,4.8,12,60,5.0,5.0,,5,5,20,4.0,,8.0,0.7
C.J. Prosise,TB,10,4.0,10,19,1.9,1.9,,5,5,18,3.6,1,7.7,0.8
Jaylen Samuels,ARI,14,7.8,9,28,2.0,3.1,,14,9,46,5.1,,7.4,0.5
Anthony Sherman,KC,13,2.3,3,8,0.6,2.7,,2,1,5,5.0,1,7.3,0.6
Jonathan Ward,TEN,14,0.1,,,0.0,,,1,1,11,11.0,1,7.1,0.5
Buddy Howell,LA,14,2.4,16,64,4.6,4.0,,2,1,3,3.0,,6.7,0.5
Theo Riddick,LV,4,12.0,6,14,3.5,2.3,,6,5,43,8.6,,5.7,1.4
Marlon Mack,ARI,1,11.0,4,26,26.0,6.5,,3,3,30,10.0,,5.6,5.6
Dontrell Hilliard,TEN,2,0.0,9,48,24.0,5.3,,1,1,2,2.0,,5.0,2.5
Devine Ozigbo,DET,8,3.0,1,1,0.1,1.0,,9,9,42,4.7,,4.3,0.5
Elijhaa Penny,NYG,14,2.9,6,15,1.1,2.5,,3,2,20,10.0,,3.5,0.2
Rashaad Penny,CAR,3,12.7,11,34,11.3,3.1,,,,,,,3.4,1.1
Bo Scarbrough,LV,1,0.0,6,31,31.0,5.2,,,,,,,3.1,3.1
Austin Walter,LV,4,0.0,1,3,0.8,3.0,,1,1,27,27.0,,3.0,0.8
Alex Armah,WAS,16,6.9,6,9,0.6,1.5,,9,5,18,3.6,,2.7,0.2
Jordan Howard,NO,2,9.0,7,27,13.5,3.9,,1,1,-3,-3.0,,2.4,1.2
Rico Dowdle,DAL,15,0.7,7,24,1.6,3.4,,,,,,,2.4,0.2
Jason Huntley,IND,5,5.8,5,19,3.8,3.8,,2,1,,0.0,,1.9,0.4
Scottie Phillips,HOU,8,0.5,2,9,1.1,4.5,,1,1,7,7.0,,1.6,0.2
Dwayne Washington,DEN,11,1.0,8,15,1.4,1.9,,,,,,,1.5,0.1
Tony Jones,ARI,1,0.0,3,13,13.0,4.3,,,,,,,1.3,1.3
D.J. Foster,ARI,10,0.5,2,2,0.2,1.0,,1,1,7,7.0,,0.9,0.1
Senorise Perry,TEN,7,0.3,2,9,1.3,4.5,,,,,,,0.9,0.1
Dexter Williams,GB,3,1.3,2,8,2.7,4.0,,,,,,,0.8,0.3
Craig Reynolds,DET,2,0.0,1,4,2.0,4.0,,1,1,3,3.0,,0.7,0.3
Jonathan Williams,WAS,5,4.2,1,5,1.0,5.0,,4,4,21,5.3,,0.6,0.1
Lamar Miller,NO,1,0.0,,,0.0,,,2,2,6,3.0,,0.6,0.6
Tony Brooks-James,PIT,1,0.0,3,4,4.0,1.3,,,,,,,0.4,0.4
Qadree Ollison,PIT,3,2.7,1,3,1.0,3.0,,,,,,,0.3,0.1
Kenjon Barner,TB,6,0.7,,,0.0,,,1,,,,,,0.0
Taiwan Jones,NYG,13,0.2,,,0.0,,,2,,,,,,0.0
