Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPG,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG
Derrick Henry,BAL,16,44.0,378,2027,126.7,5.4,17,31,19,114,6.0,,314.1,19.6
Alvin Kamara,NO,15,43.9,187,932,62.1,5.0,16,107,83,756,9.1,5,294.8,19.7
Dalvin Cook,BAL,14,47.8,312,1557,111.2,5.0,16,54,44,361,8.2,1,293.8,21.0
Jonathan Taylor,IND,15,34.1,232,1169,77.9,5.0,11,39,36,299,8.3,1,216.8,14.5
Aaron Jones,MIN,14,38.5,201,1104,78.9,5.5,9,63,47,355,7.6,2,211.9,15.1
David Montgomery,DET,15,50.6,247,1070,71.3,4.3,8,68,54,438,8.1,2,210.8,14.1
James Robinson,NO,14,0.0,240,1070,76.4,4.5,7,60,49,344,7.0,3,201.4,14.4
Josh Jacobs,GB,15,41.1,273,1065,71.0,3.9,12,45,33,238,7.2,,198.3,13.2
Nick Chubb,CLE,12,34.2,190,1067,88.9,5.6,12,18,16,150,9.4,,191.7,16.0
Kareem Hunt,CLE,16,34.2,198,841,52.6,4.2,6,51,38,304,8.0,5,180.5,11.3
Ezekiel Elliott,DAL,15,52.5,244,979,65.3,4.0,6,71,52,338,6.5,2,171.7,11.4
Kenyan Drake,GB,15,38.9,239,955,63.7,4.0,10,31,25,137,5.5,,167.2,11.1
Melvin Gordon,BAL,15,41.1,215,986,65.7,4.6,9,44,32,158,4.9,1,166.4,11.1
Antonio Gibson,NE,14,29.0,170,795,56.8,4.7,11,44,36,247,6.9,,166.2,11.9
Ronald Jones,DAL,14,32.2,192,978,69.9,5.1,7,42,28,165,5.9,1,158.3,11.3
Chris Carson,SEA,12,33.6,141,681,56.8,4.8,5,46,37,287,7.8,4,150.8,12.6
J.K. Dobbins,LAC,15,30.4,134,805,53.7,6.0,9,24,18,120,6.7,,150.5,10.0
Mike Davis,BAL,15,38.5,165,642,42.8,3.9,6,70,59,373,6.3,2,147.5,9.8
David Johnson,NO,12,45.9,147,691,57.6,4.7,6,46,33,314,9.5,2,146.5,12.2
D'Andre Swift,CHI,13,27.8,114,521,40.1,4.6,8,57,46,357,7.8,2,143.8,11.1
Miles Sanders,CAR,12,50.2,164,867,72.2,5.3,6,52,28,197,7.0,,142.4,11.9
Clyde Edwards-Helaire,KC,13,41.7,181,803,61.8,4.4,4,54,36,297,8.3,1,140.0,10.8
Todd Gurley,FA,15,33.8,195,678,45.2,3.5,9,35,25,164,6.6,,138.2,9.2
Jeff Wilson,MIA,12,0.0,126,600,50.0,4.8,7,28,13,133,10.2,3,133.3,11.1
James Conner,ARI,13,43.2,169,721,55.5,4.3,6,43,35,215,6.1,,129.6,10.0
Nyheim Hines,CLE,16,0.0,89,380,23.8,4.3,3,76,63,482,7.7,4,128.2,8.0
Myles Gaskin,MIN,10,45.3,142,584,58.4,4.1,3,47,41,388,9.5,2,123.2,12.3
Gus Edwards,LAC,16,21.7,144,723,45.2,5.0,6,13,9,129,14.3,,119.2,7.5
Wayne Gallman,SEA,15,25.8,147,682,45.5,4.6,6,27,21,114,5.4,,115.6,7.7
Chase Edmonds,TB,16,0.0,97,448,28.0,4.6,1,67,53,402,7.6,4,115.0,7.2
Darrell Henderson,LA,15,23.2,138,624,41.6,4.5,5,24,16,159,9.9,1,114.3,7.6
Latavius Murray,BUF,15,24.3,146,656,43.7,4.5,4,26,23,176,7.7,1,113.2,7.5
Adrian Peterson,SEA,16,19.4,156,604,37.8,3.9,7,18,12,101,8.4,,112.5,7.0
J.D. McKissic,WAS,16,40.1,85,365,22.8,4.3,1,110,80,589,7.4,2,111.4,7.0
Austin Ekeler,WAS,10,41.1,116,530,53.0,4.6,1,65,54,403,7.5,2,111.3,11.1
Giovani Bernard,TB,16,32.3,124,416,26.0,3.4,3,59,47,355,7.6,3,111.1,6.9
Devin Singletary,NYG,16,38.2,156,687,42.9,4.4,2,50,38,269,7.1,,105.6,6.6
Jamaal Williams,NO,14,29.9,119,505,36.1,4.2,2,35,31,236,7.6,1,96.1,6.9
Leonard Fournette,BUF,13,27.5,97,367,28.2,3.8,6,47,36,233,6.5,,96.0,7.4
Jerick McKinnon,KC,16,22.5,81,319,19.9,3.9,5,46,33,253,7.7,1,93.2,5.8
