Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPG,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG
Zavier Scott,IND,,,,,,,,,,,,,,
Marlon Mack,ARI,,,,,,,,,,,,,,
Carlos Washington,ATL,,,,,,,,,,,,,,
Travis Homer,CHI,16,0.4,,,0.0,,,1,,,,,,0.0
Greg Bell,PIT,,,,,,,,,,,,,,
Owen Wright,BAL,,,,,,,,,,,,,,
Patrick Laird,TB,,,,,,,,,,,,,,
James Robinson,NO,1,0.0,1,2,2.0,2.0,,1,1,-2,-2.0,,,0.0
Jason Huntley,IND,,,,,,,,,,,,,,
Corey Clement,ARI,3,0.0,,,0.0,,,,,,,,,0.0
Avery Williams,ATL,,,,,,,,,,,,,,
Jordan Mims,NO,2,1.5,,,0.0,,,2,,,,,,0.0
Lew Nichols,PHI,,,,,,,,,,,,,,
Ellis Merriweather,GB,,,,,,,,,,,,,,
Bryant Koback,SEA,,,,,,,,,,,,,,
Robert Burns,ATL,,,,,,,,,,,,,,
Malik Davis,DAL,3,0.0,,,0.0,,,,,,,,,0.0
Gerrid Doaks,HOU,,,,,,,,,,,,,,
Mohamed Ibrahim,DET,1,0.0,,,0.0,,,,,,,,,0.0
Jaret Patterson,LAC,,,,,,,,,,,,,,
Julius Chestnut,TEN,3,0.3,,,0.0,,,,,,,,,0.0
J.J. Taylor,HOU,,,,,,,,,,,,,,
Nate McCrary,CLE,,,,,,,,,,,,,,
Kenny McIntosh,SEA,,,,,,,,,,,,,,
Jacob Saylors,ATL,,,,,,,,,,,,,,
Tarik Cohen,CAR,,,,,,,,,,,,,,
Taiwan Jones,NYG,,,,,,,,,,,,,,
Eno Benjamin,NO,,,,,,,,,,,,,,
SaRodorick Thompson,DAL,1,0.0,,,0.0,,,,,,,,,0.0
Godwin Igwebuike,PIT,10,0.0,,,0.0,,,,,,,,,0.0
Qadree Ollison,PIT,,1.0,,,,,,,,,,,,
JaMycal Hasty,NE,3,0.0,,,0.0,,,2,,,,,,0.0
Myles Gaskin,MIN,,,,,,,,,,,,,,
Jermar Jefferson,DET,,,,,,,,,,,,,,
Austin Walter,LV,,,,,,,,,,,,,,
Jacques Patrick,NYJ,,,,,,,,,,,,,,
Tyler Badie,DEN,,,,,,,,,,,,,,
Nyheim Hines,CLE,,,,,,,,,,,,,,
Hassan Haskins,TEN,,,,,,,,,,,,,,
DeWayne McBride,MIN,,,,,,,,,,,,,,
