Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG
Deonte Harty,BAL,9,18.8,6,51,8.5,,25,20,186,9.3,1,27.7,3.1
Isaiah Ford,CHI,10,10.0,,,,,44,28,276,9.9,,27.6,2.8
Devin Duvernay,JAC,16,20.9,4,70,17.5,,26,20,201,10.1,,27.1,1.7
Mohamed Sanu,MIA,7,27.0,1,3,3.0,,23,16,178,11.1,1,26.1,3.7
Lynn Bowden,NO,10,33.2,9,32,3.6,,37,28,211,7.5,,25.6,2.6
Marcus Johnson,NYG,11,25.1,,,,,28,14,255,18.2,,25.5,2.3
Bryan Edwards,NO,12,17.8,,,,,15,11,193,17.5,1,25.3,2.1
Zay Jones,ARI,16,15.5,,,,,20,14,154,11.0,1,22.6,1.4
Byron Pringle,WAS,13,12.3,,,,,17,13,160,12.3,1,22.0,1.7
Mack Hollins,BUF,16,16.4,,,,,25,16,176,11.0,1,21.6,1.4
Marquez Callaway,PIT,11,16.1,,,,,27,21,213,10.1,,21.3,1.9
Kenny Stills,NO,10,13.1,,,,,19,11,144,13.1,1,20.4,2.0
Isaiah Wright,WAS,14,23.4,3,16,5.3,,35,27,197,7.3,,19.3,1.4
John Hightower,LAC,13,25.8,1,1,1.0,,29,10,167,16.7,,18.8,1.4
Equanimeous St. Brown,NO,12,12.2,1,7,7.0,,13,7,117,16.7,1,18.4,1.5
Kalif Raymond,DET,15,10.5,1,-3,-3.0,,15,9,187,20.8,,18.4,1.2
Cameron Batson,ATL,12,18.0,4,20,5.0,,13,12,100,8.3,1,18.0,1.5
KhaDarel Hodge,ATL,9,27.7,,,,,17,11,180,16.4,,18.0,2.0
Brandon Powell,MIN,15,11.7,2,7,3.5,,18,12,69,5.8,2,17.6,1.2
Alshon Jeffery,FA,7,28.9,,,,,13,6,115,19.2,1,17.5,2.5
KeeSean Johnson,BUF,8,24.2,,,,,23,15,173,11.5,,17.3,2.2
Mike Thomas,BAL,14,14.2,1,1,1.0,,21,13,132,10.2,1,17.3,1.2
Laquon Treadwell,BAL,5,11.8,,,,,7,6,49,8.2,2,16.9,3.4
Dez Bryant,FA,6,17.3,,,,,11,6,47,7.8,2,16.7,2.8
Jeff Smith,ARI,12,25.3,,,,,37,17,167,9.8,,16.7,1.4
Quez Watkins,PIT,6,16.5,,,,,13,7,106,15.1,1,16.6,2.8
Noah Brown,HOU,16,8.8,1,4,4.0,,24,14,154,11.0,,15.8,1.0
Malcolm Perry,NE,9,17.2,3,5,1.7,,13,9,92,10.2,1,15.7,1.7
Auden Tate,ARI,9,17.2,,,,,22,14,150,10.7,,15.0,1.7
Gunner Olszewski,NYG,13,7.9,5,23,4.6,,5,5,62,12.4,1,14.5,1.1
Christian Blake,PIT,16,11.6,,,,,18,13,141,10.8,,14.1,0.9
Dante Pettis,CHI,2,24.5,,,,,5,4,76,19.0,1,13.6,6.8
Malik Taylor,NYJ,15,8.7,1,9,9.0,,6,5,66,13.2,1,13.5,0.9
Ty Montgomery,NE,6,4.3,19,101,5.3,,6,3,27,9.0,,12.8,2.1
DeMichael Harris,IND,7,9.7,6,46,7.7,,10,10,79,7.9,,12.5,1.8
Ray-Ray McCloud,ATL,16,9.6,4,65,16.2,,22,20,77,3.9,,12.2,0.8
Chris Hogan,NO,5,54.8,,,,,26,14,118,8.4,,11.8,2.4
Javon Wims,CAR,13,16.7,1,2,2.0,,12,6,48,8.0,1,11.0,0.8
Lil'Jordan Humphrey,DEN,3,9.0,,,,,5,3,46,15.3,1,10.6,3.5
Alex Erickson,LAC,16,11.1,5,7,1.4,,17,12,139,11.6,,10.6,0.7
J.J. Arcega-Whiteside,ATL,8,11.2,,,,,8,4,85,21.3,,10.5,1.3
C.J. Board,TEN,14,11.5,1,3,3.0,,16,11,101,9.2,,10.4,0.7
Jamal Agnew,JAC,14,11.8,6,33,5.5,,20,13,89,6.8,,10.2,0.7
Justin Watson,KC,11,11.0,,,,,11,7,94,13.4,,9.4,0.9
Austin Mack,ATL,11,12.2,,,,,11,7,91,13.0,,9.1,0.8
Joe Reed,CHI,11,1.2,5,29,5.8,1,1,,,,,8.9,0.8
Austin Carr,NO,6,9.2,,,,,4,3,27,9.0,1,8.7,1.4
Parris Campbell,PHI,2,31.5,2,16,8.0,,9,6,71,11.8,,8.7,4.3
Trent Taylor,SF,12,15.8,,,,,21,10,86,8.6,,8.6,0.7
Jake Kumerow,BUF,6,0.0,,,,,1,1,22,22.0,1,8.2,1.4
Pharoh Cooper,ARI,16,4.6,,,,,8,5,73,14.6,,7.3,0.5
Courtland Sutton,DEN,1,31.0,,,,,6,3,66,22.0,,6.6,6.6
Ashton Dulin,IND,13,5.2,2,11,5.5,,6,3,53,17.7,,6.4,0.5
Tyrie Cleveland,IND,10,5.1,,,,,9,6,63,10.5,,6.3,0.6
Damion Ratley,MIN,5,0.0,,,,,10,4,63,15.8,,6.3,1.3
Steven Mitchell,HOU,6,11.5,,,,,8,5,60,12.0,,6.0,1.0
Ja'Marcus Bradley,PIT,3,25.7,,,,,11,5,60,12.0,,6.0,2.0
Jaydon Mickens,IND,10,5.2,,,,,10,7,58,8.3,,5.8,0.6
KJ Hill,LAC,15,7.5,,,,,11,7,73,10.4,,5.3,0.4
Nick Westbrook-Ikhine,TEN,14,7.5,,,,,8,3,33,11.0,,5.3,0.4
Isaiah Zuber,LV,4,6.5,2,21,10.5,,2,2,29,14.5,,5.0,1.2
Trent Sherfield,MIN,15,3.3,,,,,7,5,50,10.0,,5.0,0.3
Diontae Spencer,NYJ,11,4.4,3,19,6.3,,6,3,26,8.7,,4.5,0.4
River Cracraft,MIA,9,10.1,,,,,9,6,41,6.8,,4.1,0.5
Ted Ginn,CHI,6,8.5,,,,,6,3,40,13.3,,4.0,0.7
Riley Ridley,CHI,5,5.4,,,,,4,4,39,9.8,,3.9,0.8
Robert Foster,IND,4,0.0,,,,,6,2,37,18.5,,3.7,0.9
Brandon Zylstra,DET,16,2.8,1,1,1.0,,4,3,35,11.7,,3.6,0.2
Terry Godwin,TEN,3,14.3,1,3,3.0,,6,3,32,10.7,,3.5,1.2
Seth Roberts,GB,7,4.3,,,,,6,4,31,7.8,,3.1,0.4
Josh Malone,PIT,4,10.5,1,12,12.0,,6,4,16,4.0,,2.8,0.7
Darrius Shepherd,LAC,8,17.2,,,,,8,5,46,9.2,,2.6,0.3
Antonio Gandy-Golden,WAS,6,15.0,1,22,22.0,,7,1,3,3.0,,2.5,0.4
Daurice Fountain,DET,5,6.8,,,,,3,2,23,11.5,,2.3,0.5
Penny Hart,ATL,13,2.1,1,19,19.0,,1,1,3,3.0,,2.2,0.2
Antonio Callaway,DAL,5,0.0,,,,,4,2,20,10.0,,2.0,0.4
Tommylee Lewis,MIA,5,0.0,2,14,7.0,,3,1,5,5.0,,1.9,0.4
Deontay Burnett,PHI,2,19.5,,,,,4,3,19,6.3,,1.9,0.9
Donte Moncrief,HOU,6,3.2,1,4,4.0,,2,1,15,15.0,,1.9,0.3
John Ross,KC,3,28.3,,,,,7,2,17,8.5,,1.7,0.6
Jaleel Scott,NYJ,1,9.0,,,,,1,1,16,16.0,,1.6,1.6
James Proche,CLE,14,0.4,,,,,3,1,14,14.0,,1.4,0.1
Marvin Hall,JAC,1,74.0,1,1,1.0,,2,1,12,12.0,,1.3,1.3
Vyncint Smith,IND,7,6.0,,,,,3,1,13,13.0,,1.3,0.2
Keith Kirkwood,NO,1,35.0,,,,,2,1,13,13.0,,1.3,1.3
Cody Hollister,TEN,2,13.5,,,,,1,1,12,12.0,,1.2,0.6
Marcus Kemp,WAS,10,0.0,,,,,1,1,11,11.0,,1.1,0.1
Bennie Fowler,SF,5,4.8,,,,,6,2,11,5.5,,1.1,0.2
Gehrig Dieter,KC,4,5.0,,,,,2,1,10,10.0,,1.0,0.2
Trenton Irwin,CIN,1,5.0,,,,,2,1,5,5.0,,0.5,0.5
JoJo Natson,CLE,3,1.3,1,3,3.0,,,,,,,0.3,0.1
Kendall Hinton,DEN,1,24.0,2,7,3.5,,,,,,,-0.8,-0.8
Andre Roberts,CAR,15,2.7,1,-3,-3.0,,5,4,34,8.5,,-0.9,-0.1
DeAndre Carter,LV,4,0.0,,,,,2,1,8,8.0,,-1.2,-0.3
Dede Westbrook,GB,2,8.0,,,,,1,1,4,4.0,,-1.6,-0.8
Taywan Taylor,HOU,3,3.0,,,,,1,,,,,,0.0
Hakeem Butler,PIT,2,0.5,,,,,1,,,,,,0.0
Tavon Austin,BUF,4,6.5,,,,,5,5,20,4.0,,,0.0
Cyril Grayson,CLE,3,10.0,,,,,3,,,,,,0.0
Tajae Sharpe,SF,4,4.8,,,,,3,,,,,,0.0
Jeff Badet,LV,3,0.0,,,,,1,,,,,,0.0
