Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG
Davante Adams,LV,14,55.4,,,,,149,115,1374,11.9,18,243.4,17.4
Tyreek Hill,MIA,15,60.1,13,123,9.5,2,135,87,1276,14.7,15,241.9,16.1
Stefon Diggs,HOU,16,60.3,1,1,1.0,,166,127,1535,12.1,8,201.6,12.6
Calvin Ridley,TEN,15,0.0,5,1,0.2,,143,90,1374,15.3,9,191.5,12.8
DK Metcalf,SEA,16,59.7,,,,,129,83,1303,15.7,10,188.3,11.8
Justin Jefferson,MIN,16,55.4,1,2,2.0,,125,88,1400,15.9,7,186.2,11.6
Adam Thielen,CAR,15,61.7,3,15,5.0,,108,74,925,12.5,14,180.0,12.0
Mike Evans,TB,16,49.7,,,,,109,70,1006,14.4,13,178.6,11.2
DeAndre Hopkins,TEN,16,60.6,1,1,1.0,,160,115,1407,12.2,6,172.8,10.8
A.J. Brown,PHI,14,54.2,,,,,106,70,1075,15.4,11,171.5,12.2
Tyler Lockett,SEA,16,59.0,,,,,132,100,1054,10.5,10,165.4,10.3
Allen Robinson,NYG,16,56.9,1,-1,-1.0,,151,102,1250,12.3,6,160.9,10.1
Robert Woods,HOU,16,62.5,24,155,6.5,2,129,90,936,10.4,6,155.1,9.7
Chase Claypool,BUF,16,0.0,10,16,1.6,2,109,62,873,14.1,9,154.9,9.7
Marvin Jones,DET,16,55.8,,,,,115,76,978,12.9,9,151.8,9.5
Brandin Cooks,DAL,15,53.5,,,,,119,81,1150,14.2,6,151.0,10.1
DJ Moore,CHI,15,52.2,2,22,11.0,,118,66,1193,18.1,4,145.5,9.7
Keenan Allen,CHI,14,62.4,1,-1,-1.0,,147,100,992,9.9,8,145.1,10.4
Amari Cooper,CLE,16,58.9,6,14,2.3,,130,92,1114,12.1,5,144.8,9.1
CeeDee Lamb,DAL,16,45.6,10,82,8.2,1,111,74,935,12.6,5,137.7,8.6
Nelson Agholor,BAL,16,45.7,,,,,82,48,896,18.7,8,137.6,8.6
JuJu Smith-Schuster,NE,16,57.7,,,,,128,97,831,8.6,9,137.1,8.6
Terry McLaurin,WAS,15,63.3,2,30,15.0,,134,87,1118,12.9,4,136.8,9.1
William Fuller,MIA,11,52.5,1,,0.0,,75,53,879,16.6,8,135.9,12.4
Curtis Samuel,BUF,15,40.9,41,200,4.9,2,97,77,851,11.1,3,135.1,9.0
Diontae Johnson,CAR,15,48.9,3,15,5.0,,144,88,923,10.5,7,133.8,8.9
Robbie Chosen,MIA,16,0.0,4,15,3.8,,136,95,1096,11.5,3,129.1,8.1
Tee Higgins,CIN,16,49.4,5,28,5.6,,108,67,908,13.6,6,127.6,8.0
Corey Davis,NYJ,14,51.3,,,,,92,65,984,15.1,5,126.4,9.0
Chris Godwin,TB,12,52.0,,,,,84,65,840,12.9,7,126.0,10.5
Cole Beasley,NYG,15,45.3,,,,,107,82,967,11.8,4,125.5,8.4
Hollywood Brown,KC,16,48.3,1,1,1.0,,100,58,769,13.3,8,125.0,7.8
Brandon Aiyuk,SF,12,56.3,6,77,12.8,2,96,60,748,12.5,5,124.5,10.4
Cooper Kupp,LA,15,56.1,4,33,8.2,,124,92,974,10.6,3,116.7,7.8
Jarvis Landry,NO,15,46.6,4,10,2.5,1,101,72,840,11.7,3,116.0,7.7
Michael Gallup,LV,16,62.7,,,,,105,59,843,14.3,5,114.3,7.1
Tyler Boyd,TEN,15,49.7,5,49,9.8,,110,79,841,10.6,4,113.6,7.6
Jamison Crowder,WAS,12,49.4,1,14,14.0,,89,59,699,11.8,6,113.0,9.4
Tim Patrick,DEN,15,50.0,,,,,79,51,742,14.5,6,110.2,7.3
Russell Gage,TB,16,47.6,2,9,4.5,,109,72,786,10.9,4,109.1,6.8
T.Y. Hilton,DAL,15,45.9,,,,,93,56,762,13.6,5,108.2,7.2
Mike Williams,NYJ,15,53.1,1,1,1.0,,85,48,756,15.8,5,105.7,7.0
Jerry Jeudy,CLE,16,50.3,,,,,113,52,856,16.5,3,105.6,6.6
Marquez Valdes-Scantling,KC,16,43.6,4,13,3.2,,63,33,690,20.9,6,104.3,6.5
Emmanuel Sanders,BUF,14,37.0,1,12,12.0,,82,61,726,11.9,5,103.8,7.4
DeVante Parker,PHI,14,51.9,,,,,103,63,793,12.6,4,103.3,7.4
Gabe Davis,JAC,16,49.8,1,,0.0,,62,35,599,17.1,7,101.9,6.4
DJ Chark,LAC,13,54.0,,,,,93,53,706,13.3,5,100.6,7.7
Laviska Shenault,SEA,14,41.8,18,91,5.1,,79,58,600,10.3,5,99.1,7.1
Christian Kirk,JAC,14,50.9,2,3,1.5,,79,48,621,12.9,6,98.4,7.0
Sterling Shepard,NYG,12,46.8,6,49,8.2,1,90,66,656,9.9,3,96.5,8.0
Julio Jones,PHI,9,52.0,,,,,68,51,771,15.1,3,95.1,10.6
Keelan Cole,LV,16,49.1,1,2,2.0,,88,55,642,11.7,5,94.4,5.9
Zach Pascal,ARI,16,52.2,,,,,71,44,629,14.3,5,92.9,5.8
Darnell Mooney,ATL,16,48.8,4,20,5.0,,98,61,631,10.3,4,91.1,5.7
Darius Slayton,NYG,16,54.8,2,-1,-0.5,,96,50,751,15.0,3,91.0,5.7
Rashard Higgins,CAR,13,38.2,,,,,52,37,599,16.2,4,83.9,6.5
David Moore,CAR,16,30.1,8,61,7.6,,47,35,417,11.9,6,83.8,5.2
Jakobi Meyers,LV,14,46.5,2,9,4.5,,81,59,729,12.4,,83.5,6.0
Mecole Hardman,KC,16,31.2,4,31,7.8,,62,41,560,13.7,4,81.1,5.1
Kendrick Bourne,NE,15,44.6,,,,,74,49,667,13.6,2,80.7,5.4
Greg Ward,PHI,16,49.4,2,-4,-2.0,,79,53,419,7.9,6,80.1,5.0
Travis Fulgham,GB,13,41.6,,,,,67,38,539,14.2,4,77.9,6.0
Hunter Renfrow,LV,16,34.4,,,,,77,56,656,11.7,2,75.6,4.7
Josh Reynolds,DEN,16,50.2,1,5,5.0,,81,52,618,11.9,2,72.3,4.5
Antonio Brown,TB,8,34.6,2,-2,-1.0,,62,45,483,10.7,4,72.1,9.0
Scott Miller,PIT,16,22.3,3,14,4.7,,53,33,501,15.2,3,69.5,4.3
James Washington,IND,16,30.4,,,,,56,30,392,13.1,5,69.2,4.3
Tre'Quan Smith,DET,14,44.8,1,3,3.0,,50,34,448,13.2,4,69.1,4.9
Jalen Guyton,LV,16,53.3,2,,0.0,,55,28,511,18.3,3,69.1,4.3
Breshad Perriman,IND,12,54.2,1,6,6.0,,60,30,505,16.8,3,69.1,5.8
Damiere Byrd,HOU,16,50.2,2,15,7.5,,77,47,604,12.9,1,67.9,4.2
Allen Lazard,NYJ,10,47.0,2,17,8.5,,46,33,451,13.7,3,64.8,6.5
A.J. Green,ARI,16,51.2,,,,,104,47,523,11.1,2,64.3,4.0
Odell Beckham,MIA,7,45.1,3,72,24.0,1,43,23,319,13.9,3,63.8,9.1
John Brown,BUF,9,50.3,,,,,52,33,458,13.9,3,63.8,7.1
Isaiah McKenzie,NYG,16,16.5,10,9,0.9,,34,30,282,9.4,5,63.6,4.0
Demarcus Robinson,LA,16,41.8,,,,,59,45,466,10.4,3,62.6,3.9
Randall Cobb,NYJ,10,36.9,,,,,48,38,441,11.6,3,62.1,6.2
Willie Snead,SF,13,41.2,,,,,48,33,432,13.1,3,61.2,4.7
Danny Amendola,HOU,14,30.8,1,2,2.0,,69,46,602,13.1,,60.4,4.3
Braxton Berrios,MIA,16,17.9,3,29,9.7,,55,37,394,10.6,3,60.3,3.8
KJ Hamler,BUF,13,39.0,9,40,4.4,,56,30,381,12.7,3,60.1,4.6
Anthony Miller,KC,16,36.5,2,12,6.0,,76,49,485,9.9,2,59.7,3.7
Tyron Billy-Johnson,DAL,12,20.8,3,17,5.7,,26,20,398,19.9,3,59.5,5.0
Michael Pittman,IND,13,53.8,3,26,8.7,,61,40,503,12.6,1,58.9,4.5
Henry Ruggs,LV,13,44.7,9,49,5.4,,43,26,452,17.4,2,58.1,4.5
Chris Conley,SF,15,26.9,,,,,63,40,471,11.8,2,57.1,3.8
Preston Williams,CAR,8,42.0,,,,,35,18,288,16.0,4,56.8,7.1
Cam Sims,CAR,16,36.2,1,5,5.0,,48,32,477,14.9,1,54.2,3.4
Keke Coutee,MIA,8,36.5,,,,,40,33,400,12.1,3,54.0,6.8
Golden Tate,TEN,12,35.3,,,,,52,35,388,11.1,2,51.5,4.3
Sammy Watkins,BAL,10,52.7,1,3,3.0,,55,37,421,11.4,2,51.4,5.1
Miles Boykin,NYG,16,30.9,,,,,33,19,266,14.0,4,50.6,3.2
Jalen Reagor,NE,11,46.4,4,26,6.5,,54,31,396,12.8,1,50.2,4.6
Deebo Samuel,SF,7,43.6,8,26,3.2,,44,33,391,11.8,1,47.7,6.8
Quintez Cephus,BUF,13,25.3,,,,,35,20,349,17.5,2,46.9,3.6
Larry Fitzgerald,FA,13,51.8,,,,,72,54,409,7.6,1,46.9,3.6
Kenny Golladay,NYG,5,45.2,,,,,32,20,338,16.9,2,45.8,9.2
Jakeem Grant,CLE,14,26.4,3,20,6.7,,54,36,373,10.4,1,45.3,3.2
Donovan Peoples-Jones,DET,12,16.9,,,,,20,14,304,21.7,2,44.4,3.7
Michael Thomas,NO,7,49.3,1,1,1.0,,55,40,438,11.0,,43.9,6.3
Richie James,KC,11,22.5,,,,,35,23,394,17.1,1,41.4,3.8
Collin Johnson,CHI,14,13.7,,,,,31,18,272,15.1,2,41.2,2.9
N'Keal Harry,MIN,14,39.2,2,,0.0,,57,33,309,9.4,2,40.9,2.9
DaeSean Hamilton,MIA,16,30.2,,,,,44,23,293,12.7,2,39.3,2.5
Denzel Mims,PIT,9,48.8,,,,,44,23,357,15.5,,37.7,4.2
Julian Edelman,,6,44.2,2,22,11.0,,39,21,315,15.0,,35.2,5.9
Adam Humphries,HOU,7,32.4,1,,0.0,,35,23,228,9.9,2,34.8,5.0
Cedrick Wilson,NO,16,10.1,3,-12,-4.0,,28,17,189,11.1,2,34.6,2.2
Andy Isabella,BUF,13,22.2,1,-6,-6.0,,35,21,224,10.7,2,33.8,2.6
Olamide Zaccheaus,WAS,11,26.2,1,,0.0,,32,20,274,13.7,1,33.4,3.0
DeSean Jackson,BAL,5,35.8,1,12,12.0,,26,14,236,16.9,1,30.8,6.2
Steven Sims,HOU,12,31.6,1,18,18.0,,37,27,265,9.8,1,30.3,2.5
Chad Beebe,HOU,14,17.2,,,,,30,20,201,10.1,2,30.1,2.1
Chad Hansen,ATL,5,56.8,,,,,24,17,236,13.9,1,29.6,5.9
Tyler Johnson,LA,14,13.1,,,,,17,12,169,14.1,2,28.9,2.1
Dontrelle Inman,WAS,10,29.1,,,,,28,18,163,9.1,2,28.3,2.8
Freddie Swain,MIA,16,19.6,,,,,21,13,159,12.2,2,27.9,1.7
Van Jefferson,PIT,16,14.9,1,-1,-1.0,,31,19,220,11.6,1,27.9,1.7
