Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPG,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG,position
Rashod Bateman,BAL,16.0,23.3,1.0,18.0,0.0,18.0,0.0,56.0,32.0,367.0,11.5,1.0,44.5,2.8,wr
Zay Jones,ARI,9.0,41.3,0.0,0.0,0.0,0.0,0.0,64.0,34.0,321.0,9.4,2.0,44.1,4.9,wr
Marvin Mims,DEN,16.0,13.6,9.0,30.0,0.0,3.3,0.0,33.0,22.0,377.0,17.1,1.0,42.7,2.7,wr
Jonathan Mingo,CAR,15.0,56.7,0.0,0.0,0.0,0.0,0.0,85.0,43.0,418.0,9.7,0.0,41.8,2.8,wr
Greg Dortch,ARI,16.0,18.0,1.0,5.0,0.0,5.0,0.0,41.0,24.0,280.0,11.7,2.0,40.5,2.5,wr
DeVante Parker,PHI,13.0,40.5,0.0,0.0,0.0,0.0,0.0,55.0,33.0,394.0,11.9,0.0,39.4,3.0,wr
Isaiah Hodgins,NYG,17.0,18.9,0.0,0.0,0.0,0.0,0.0,33.0,21.0,230.0,11.0,3.0,39.0,2.3,wr
Brandon Powell,MIN,17.0,16.1,5.0,17.0,0.0,3.4,0.0,44.0,29.0,324.0,11.2,1.0,38.1,2.2,wr
Jake Bobo,SEA,17.0,12.9,1.0,3.0,0.0,3.0,1.0,25.0,19.0,196.0,10.3,2.0,37.9,2.2,wr
Trenton Irwin,CIN,16.0,14.6,0.0,0.0,0.0,0.0,0.0,32.0,25.0,316.0,12.6,1.0,37.6,2.4,wr
Jalin Hyatt,NYG,17.0,23.2,0.0,0.0,0.0,0.0,0.0,40.0,23.0,373.0,16.2,0.0,37.3,2.2,wr
Allen Lazard,NYJ,14.0,36.1,0.0,0.0,0.0,0.0,0.0,49.0,23.0,311.0,13.5,1.0,37.1,2.6,wr
Jalen Tolbert,DAL,17.0,17.7,0.0,0.0,0.0,0.0,0.0,36.0,22.0,268.0,12.2,2.0,36.8,2.2,wr
Calvin Austin,PIT,17.0,15.4,11.0,57.0,0.0,5.2,1.0,30.0,17.0,180.0,10.6,1.0,35.7,2.1,wr
Andrei Iosivas,CIN,16.0,8.1,0.0,0.0,0.0,0.0,0.0,25.0,15.0,116.0,7.7,4.0,35.6,2.2,wr
Marquez Valdes-Scantling,KC,16.0,26.0,0.0,0.0,0.0,0.0,0.0,42.0,21.0,315.0,15.0,1.0,35.5,2.2,wr
David Bell,CLE,15.0,11.7,0.0,0.0,0.0,0.0,0.0,23.0,14.0,167.0,11.9,3.0,34.7,2.3,wr
Lil'Jordan Humphrey,DEN,17.0,10.2,0.0,0.0,0.0,0.0,0.0,19.0,13.0,162.0,12.5,3.0,34.2,2.0,wr
Skyy Moore,KC,14.0,28.3,3.0,23.0,0.0,7.7,0.0,38.0,21.0,244.0,11.6,1.0,32.7,2.3,wr
Jauan Jennings,SF,13.0,19.1,0.0,0.0,0.0,0.0,0.0,33.0,19.0,265.0,13.9,1.0,32.5,2.5,wr
JuJu Smith-Schuster,NE,11.0,36.7,0.0,0.0,0.0,0.0,0.0,47.0,29.0,260.0,9.0,1.0,32.0,2.9,wr
Xavier Gipson,NYJ,17.0,21.3,8.0,68.0,0.0,8.5,1.0,38.0,21.0,229.0,10.9,0.0,31.7,1.9,wr
Mike Williams,NYJ,3.0,55.7,1.0,3.0,0.0,3.0,0.0,26.0,19.0,249.0,13.1,1.0,31.2,10.4,wr
Braxton Berrios,MIA,16.0,21.5,1.0,11.0,0.0,11.0,0.0,33.0,27.0,238.0,8.8,1.0,30.9,1.9,wr
Bo Melton,GB,5.0,8.6,3.0,21.0,0.0,7.0,0.0,24.0,16.0,218.0,13.6,1.0,29.9,6.0,wr
Alex Erickson,LAC,8.0,13.0,0.0,0.0,0.0,0.0,0.0,29.0,16.0,232.0,14.5,1.0,29.2,3.6,wr
Olamide Zaccheaus,WAS,17.0,16.7,0.0,0.0,0.0,0.0,0.0,20.0,10.0,164.0,16.4,2.0,28.4,1.7,wr
Scott Miller,PIT,17.0,12.8,0.0,0.0,0.0,0.0,0.0,16.0,11.0,161.0,14.6,2.0,28.1,1.7,wr
Allen Robinson,NYG,17.0,27.2,0.0,0.0,0.0,0.0,0.0,49.0,34.0,280.0,8.2,0.0,28.0,1.6,wr
Jamal Agnew,JAC,11.0,17.3,4.0,-2.0,0.0,-0.5,0.0,21.0,14.0,225.0,16.1,1.0,26.3,2.4,wr
Kadarius Toney,KC,13.0,14.6,11.0,31.0,0.0,2.8,0.0,38.0,27.0,169.0,6.3,1.0,26.0,2.0,wr
Mack Hollins,BUF,13.0,23.5,0.0,0.0,0.0,0.0,0.0,30.0,18.0,251.0,13.9,0.0,25.1,1.9,wr
Treylon Burks,TEN,11.0,28.2,5.0,18.0,0.0,3.6,0.0,30.0,16.0,221.0,13.8,0.0,23.9,2.2,wr
Hunter Renfrow,LV,17.0,14.9,0.0,0.0,0.0,0.0,0.0,37.0,25.0,255.0,10.2,0.0,23.5,1.4,wr
Cedric Tillman,CLE,14.0,41.3,1.0,8.0,0.0,8.0,0.0,44.0,21.0,224.0,10.7,0.0,23.2,1.7,wr
KhaDarel Hodge,ATL,17.0,19.1,1.0,0.0,0.0,0.0,0.0,23.0,14.0,232.0,16.6,0.0,23.2,1.4,wr
Parker Washington,JAC,9.0,18.9,0.0,0.0,0.0,0.0,0.0,21.0,16.0,132.0,8.3,2.0,23.2,2.6,wr
Dyami Brown,WAS,17.0,13.2,1.0,0.0,0.0,0.0,0.0,23.0,12.0,168.0,14.0,1.0,23.0,1.4,wr
Quez Watkins,PIT,9.0,16.7,0.0,0.0,0.0,0.0,0.0,21.0,15.0,142.0,9.5,1.0,20.2,2.2,wr
Jamison Crowder,WAS,17.0,6.5,0.0,0.0,0.0,0.0,0.0,20.0,16.0,159.0,9.9,1.0,19.9,1.2,wr
Deonte Harty,BAL,16.0,7.8,4.0,0.0,0.0,0.0,0.0,21.0,15.0,150.0,10.0,1.0,19.0,1.2,wr
Tyler Scott,CHI,17.0,17.9,7.0,41.0,0.0,5.9,0.0,32.0,17.0,168.0,9.9,0.0,18.9,1.1,wr
Robbie Chosen,MIA,9.0,9.2,0.0,0.0,0.0,0.0,0.0,6.0,4.0,126.0,31.5,1.0,18.6,2.1,wr
Malik Heath,GB,13.0,11.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,125.0,8.3,1.0,18.5,1.4,wr
Ihmir Smith-Marsette,CAR,17.0,7.2,8.0,74.0,0.0,9.2,1.0,10.0,8.0,51.0,6.4,0.0,18.5,1.1,wr
River Cracraft,MIA,10.0,10.9,0.0,0.0,0.0,0.0,0.0,12.0,9.0,121.0,13.4,1.0,18.1,1.8,wr
Deven Thompkins,TB,17.0,13.7,8.0,56.0,0.0,7.0,0.0,25.0,17.0,83.0,4.9,1.0,17.9,1.1,wr
Ray-Ray McCloud,ATL,12.0,12.2,3.0,30.0,0.0,10.0,0.0,15.0,12.0,135.0,11.3,0.0,16.5,1.4,wr
John Metchie,HOU,16.0,17.9,1.0,4.0,0.0,4.0,0.0,30.0,16.0,158.0,9.9,0.0,16.2,1.0,wr
Kyle Philips,TEN,9.0,8.9,0.0,0.0,0.0,0.0,0.0,22.0,15.0,181.0,12.1,0.0,16.1,1.8,wr
Jalen Reagor,NE,11.0,20.3,1.0,17.0,0.0,17.0,0.0,23.0,7.0,138.0,19.7,0.0,15.5,1.4,wr
Derius Davis,LAC,17.0,4.5,14.0,101.0,0.0,7.2,0.0,17.0,15.0,66.0,4.4,0.0,14.7,0.9,wr
Tyquan Thornton,NE,9.0,18.3,3.0,51.0,0.0,17.0,0.0,23.0,13.0,91.0,7.0,0.0,14.2,1.6,wr
Byron Pringle,WAS,17.0,7.1,0.0,0.0,0.0,0.0,0.0,22.0,14.0,161.0,11.5,0.0,14.1,0.8,wr
Terrace Marshall,CAR,9.0,29.6,0.0,0.0,0.0,0.0,0.0,33.0,19.0,139.0,7.3,0.0,13.9,1.5,wr
Xavier Hutchinson,HOU,16.0,16.4,5.0,49.0,0.0,9.8,0.0,19.0,8.0,90.0,11.3,0.0,13.9,0.9,wr
Lynn Bowden,NO,15.0,15.6,5.0,32.0,0.0,6.4,0.0,16.0,11.0,83.0,7.5,0.0,11.5,0.8,wr
Laviska Shenault,SEA,8.0,11.5,12.0,55.0,0.0,4.6,0.0,10.0,10.0,60.0,6.0,0.0,11.5,1.4,wr
Van Jefferson,PIT,12.0,27.0,1.0,4.0,0.0,4.0,0.0,28.0,12.0,101.0,8.4,0.0,10.5,0.9,wr
Parris Campbell,PHI,12.0,12.1,0.0,0.0,0.0,0.0,0.0,27.0,20.0,104.0,5.2,0.0,10.4,0.9,wr
Mecole Hardman,KC,6.0,6.5,1.0,3.0,0.0,3.0,0.0,21.0,14.0,118.0,8.4,0.0,10.1,1.7,wr
Marquise Goodwin,CLE,12.0,7.2,4.0,33.0,0.0,8.2,0.0,13.0,4.0,67.0,16.8,0.0,10.0,0.8,wr
Richie James,KC,9.0,5.3,0.0,0.0,0.0,0.0,0.0,14.0,10.0,114.0,11.4,0.0,9.4,1.0,wr
