Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPG,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG,position
Jalen Nailor,MIN,15.0,5.1,0.0,0.0,0.0,0.0,0.0,13.0,9.0,179.0,19.9,1.0,23.9,1.6,wr
Brandon Powell,MIN,17.0,17.1,17.0,80.0,0.0,4.7,0.0,32.0,24.0,156.0,6.5,0.0,23.6,1.4,wr
River Cracraft,MIA,11.0,13.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,102.0,11.3,2.0,22.2,2.0,wr
Amari Rodgers,IND,6.0,25.5,2.0,7.0,0.0,3.5,0.0,17.0,12.0,154.0,12.8,1.0,22.1,3.7,wr
Marquez Callaway,PIT,14.0,25.1,0.0,0.0,0.0,0.0,0.0,32.0,16.0,158.0,9.9,1.0,21.8,1.6,wr
Sterling Shepard,NYG,3.0,55.0,0.0,0.0,0.0,0.0,0.0,24.0,13.0,154.0,11.8,1.0,21.4,7.1,wr
Skyy Moore,KC,16.0,19.6,3.0,24.0,0.0,8.0,0.0,33.0,22.0,250.0,11.4,0.0,21.4,1.3,wr
David Bell,CLE,16.0,30.9,0.0,0.0,0.0,0.0,0.0,35.0,24.0,214.0,8.9,0.0,21.4,1.3,wr
Zach Pascal,ARI,17.0,18.0,1.0,0.0,0.0,0.0,0.0,19.0,15.0,150.0,10.0,1.0,21.0,1.2,wr
Keelan Cole,LV,14.0,25.4,0.0,0.0,0.0,0.0,0.0,21.0,10.0,141.0,14.1,1.0,20.1,1.4,wr
Scott Miller,PIT,15.0,16.5,1.0,8.0,0.0,8.0,0.0,40.0,23.0,185.0,8.0,0.0,19.3,1.3,wr
Jalen Reagor,NE,17.0,5.1,4.0,25.0,0.0,6.2,0.0,13.0,8.0,104.0,13.0,1.0,18.9,1.1,wr
KJ Hamler,BUF,7.0,32.0,2.0,23.0,0.0,11.5,0.0,14.0,7.0,165.0,23.6,0.0,18.8,2.7,wr
Denzel Mims,PIT,10.0,27.0,0.0,0.0,0.0,0.0,0.0,25.0,11.0,186.0,16.9,0.0,18.6,1.9,wr
N'Keal Harry,MIN,7.0,21.1,0.0,0.0,0.0,0.0,0.0,9.0,7.0,116.0,16.6,1.0,17.6,2.5,wr
Steven Sims,HOU,12.0,23.7,13.0,70.0,0.0,5.4,0.0,23.0,14.0,104.0,7.4,0.0,17.4,1.4,wr
DeSean Jackson,BAL,7.0,15.7,0.0,0.0,0.0,0.0,0.0,17.0,9.0,153.0,17.0,0.0,15.3,2.2,wr
Anthony Schwartz,MIA,11.0,7.2,4.0,57.0,0.0,14.2,1.0,10.0,4.0,51.0,12.8,0.0,14.8,1.3,wr
Cedrick Wilson,NO,15.0,14.5,1.0,8.0,0.0,8.0,0.0,18.0,12.0,136.0,11.3,0.0,14.4,1.0,wr
Breshad Perriman,IND,11.0,17.6,2.0,-7.0,0.0,-3.5,0.0,19.0,9.0,110.0,12.2,1.0,14.3,1.3,wr
Tom Kennedy,DET,7.0,32.4,0.0,0.0,0.0,0.0,0.0,15.0,8.0,141.0,17.6,0.0,14.1,2.0,wr
Jeff Smith,ARI,11.0,10.3,0.0,0.0,0.0,0.0,0.0,11.0,8.0,134.0,16.8,0.0,13.4,1.2,wr
T.Y. Hilton,DAL,3.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,121.0,17.3,0.0,12.1,4.0,wr
David Sills,DEN,9.0,26.9,0.0,0.0,0.0,0.0,0.0,17.0,11.0,106.0,9.6,0.0,10.6,1.2,wr
Sammy Watkins,BAL,3.0,18.7,0.0,0.0,0.0,0.0,0.0,5.0,3.0,119.0,39.7,0.0,9.9,3.3,wr
CeeDee Lamb,DAL,17.0,42.6,14.0,113.0,0.0,8.1,2.0,181.0,135.0,1749.0,13.0,12.0,268.2,15.8,wr
Tyreek Hill,MIA,16.0,32.5,6.0,15.0,0.0,2.5,0.0,171.0,119.0,1799.0,15.1,13.0,257.4,16.1,wr
Amon-Ra St. Brown,DET,16.0,49.6,4.0,24.0,0.0,6.0,0.0,164.0,119.0,1515.0,12.7,10.0,211.9,13.2,wr
Mike Evans,TB,17.0,44.6,0.0,0.0,0.0,0.0,0.0,136.0,79.0,1255.0,15.9,13.0,203.5,12.0,wr
Puka Nacua,LA,17.0,53.1,12.0,89.0,0.0,7.4,0.0,160.0,105.0,1486.0,14.2,6.0,193.5,11.4,wr
DJ Moore,CHI,17.0,46.8,4.0,21.0,0.0,5.2,1.0,136.0,96.0,1364.0,14.2,8.0,190.5,11.2,wr
Deebo Samuel,SF,15.0,34.1,37.0,225.0,0.0,6.1,5.0,89.0,60.0,892.0,14.9,7.0,183.7,12.2,wr
A.J. Brown,PHI,17.0,42.2,0.0,0.0,0.0,0.0,0.0,158.0,106.0,1456.0,13.7,7.0,183.6,10.8,wr
Nico Collins,HOU,15.0,44.6,1.0,7.0,0.0,7.0,0.0,109.0,80.0,1297.0,16.2,8.0,180.4,12.0,wr
Brandon Aiyuk,SF,16.0,33.9,0.0,0.0,0.0,0.0,0.0,105.0,75.0,1342.0,17.9,7.0,174.2,10.9,wr
Keenan Allen,CHI,13.0,46.8,2.0,6.0,0.0,3.0,0.0,150.0,108.0,1243.0,11.5,7.0,170.9,13.1,wr
